id;securityplanname;releasetime;createtime;creatorname;audit_status;version
e21ab85b-77de-4fb6-88a2-0d6bc27a8711;优秀 简直;2024-06-24;2024-06-24;捧 for 热;Approved;18890
791a6e81-e6ee-4af7-b9bf-bbc43c1e02fc;behind yet;2024-06-24;2024-06-24;猛然 but;In_Audit;4495
2ba6d699-e1d4-4285-afb4-1d58e8c7e1e9;although;2024-06-24;2024-06-24;坚固 略微 gosh;Not_Audited;20321
fe18f438-578c-4caa-bc5a-0792df174a24;arithmetic exposure around;2024-06-24;2024-06-25;粗 撞;Approved;17338
24e6ed8b-d78f-4475-90bd-1cfe84da0dfe;捶;2024-06-24;2024-06-24;hm how between;Not_Audited;27676
25207069-a898-4653-9c4d-e8812cba323b;整;2024-06-24;2024-06-24;without;In_Audit;26215
a956e6a7-666e-48c7-9cb1-3923176177f1;um;2024-06-24;2024-06-24;deviation;Not_Audited;3838
0dbc654d-f830-4778-b4df-f94123108e47;啃 必定;2024-06-24;2024-06-25;or of;Not_Audited;11784
69291381-8942-4522-bb97-0aa5fb6b17f5;before 摊;2024-06-24;2024-06-24;lotion 吸;In_Audit;24157
401938cc-c6b6-4204-86ba-0dc5ffff7fc3;吃;2024-06-24;2024-06-24;启动 atop;In_Audit;17532
