id;annualplanname;jhi_year;secretlevel;creatorname;status;audit_status
e5c6f634-7639-4fa3-b91e-aac338bb5375;甜;2024-06-24;SECRET;per precision;NOTIFIED;Approved
4167ff20-5ce9-4380-8919-bed550905785;仅 捡 冷;2024-06-25;SECRET;woot anenst 少;NOTIFIED;Approved
62181d13-70ef-4ae3-97a1-c44ba83b207c;一同;2024-06-24;SECRET;aha;PUBLISHED;Not_Audited
5ea10244-6a7b-47a1-8f05-63a4d885ca24;boohoo;2024-06-24;NOSECTET_INTERNAL;from bah;NOTIFIED;In_Audit
7c2fb27c-284e-44d5-b4b2-9da2db608d2e;吃 笔直;2024-06-24;PUBLIC;meh;PUBLISHED;In_Audit
c2e3ae3d-6a8c-491d-8bb8-e0ee89812497;aboard barium 少;2024-06-24;PUBLIC;gee 好些 absent;NOTIFIED;Not_Audited
f7efe7b5-ab51-4dbe-a8f4-f941b4e27d61;vicinity 格外 依然;2024-06-24;SECRET;画;NOTIFIED;Not_Audited
a72a8ece-1961-4944-87e4-523b0cc96a6c;也许 fooey 撬;2024-06-24;PUBLIC;zowie;IN_PIPELINE;In_Audit
22ed24d5-4f3d-4520-9267-0beeca54e919;excepting 舞;2024-06-24;PUBLIC;mantua 黑不溜秋 wherever;PUBLISHED;Not_Audited
76405212-8cd7-414a-b48c-d287d18d2e67;bafflement that;2024-06-24;PUBLIC;boo eek;NOTIFIED;In_Audit
