id;createtime;creatorname;secretlevel;jhi_year;budgit;dapartmentid;draftapproval;totalbudgetid;unitbudgetid;documentid;maintainerid;audit_status
2f3517eb-fe21-47c4-bbed-6693915fc3a2;2024-06-24;near 可;PUBLIC;8561;27333.92;大方 supposing 撑;5944;21324.21;26468.25;许多 dolor;嚼 fourths;Not_Audited
542eaf4d-878f-493c-89b1-f53907b0f802;2024-06-24;剪 就;SECRET;31239;29423.88;including 甜 boo;5594;31053.54;32607.17;一定 更 拧;finally;In_Audit
d0fdd1df-bcc5-45af-8be6-0fd7670fd5b8;2024-06-24;now ouch;PUBLIC;30465;26777.97;but 何尝 porpoise;9166;1596.94;16736.76;抛 and;as where;Approved
5de0fcf4-92f4-4477-822b-024be8b8af4b;2024-06-24;heifer 统统 rainbow;NOSECTET_INTERNAL;22475;22429.17;anenst;31887;7184.54;3955.92;meter;till;Approved
2759af67-dc10-47b3-9cb8-5051bdbeb9fc;2024-06-24;aunt over;SECRET;3139;17976.82;好些 near;15084;15280.76;16293.33;prow before brr;than eek;Not_Audited
39e24acd-955e-41df-b6c2-cd54dad2e1e0;2024-06-24;细;SECRET;30732;3907.75;擅自 what pendant;8480;19058.24;809.61;gladiolus 大方;as;In_Audit
b002b831-74d6-4d96-837a-8a24d42c1b5b;2024-06-24;拧;NOSECTET_INTERNAL;21874;1752.32;切 phew;26273;29924.17;26657.69;拖;差点儿 teaching whenever;In_Audit
720d17e6-ab15-44cb-ab4a-deecef4c65f2;2024-06-24;about pantyhose;NOSECTET_INTERNAL;20422;851.37;cloth robe axis;12838;5168.26;14549.06;果然 难道 抛;through 拉 hmph;Not_Audited
484dfdcc-fb5c-438c-bcac-e3ca7d887b28;2024-06-24;gosh 惟独 抓;NOSECTET_INTERNAL;4710;10865.75;uh-huh;28991;14128.42;18030.01;including;写;Approved
96012b9f-2e2e-42ab-ad5a-c78b8f32b885;2024-06-24;蠕动 转动;SECRET;6036;24734.83;撕;26570;8037.61;3819.87;平常 nor;没 做;In_Audit
