id;description;jhi_number;jhi_type;starttime;endtime;actualstarttime;actualendtime;result;acceptancetype;status;audit_status;responsiblename
73384db8-7256-4623-a6f1-88814e6ce52e;生动 hm;31190;15017;2024-06-24;2024-06-25;2024-06-24;2024-06-24;unlike pennant;dress;COMPLETED;In_Audit;笔直
5514f5c7-ff1e-44a1-a534-5567dcb38425;互相 逐步;12553;32331;2024-06-24;2024-06-24;2024-06-24;2024-06-24;大 cupboard;转动 画 barring;IN_PROGRESS;Not_Audited;vice nor
10f54479-0ead-4c03-b462-7aefd4f8d6cb;derrick;6047;19068;2024-06-24;2024-06-24;2024-06-24;2024-06-25;how 披 and;吐;COMPLETED;Approved;坏 incidentally zowie
1d73e11e-b4f3-4483-be21-2e2ac52e2492;appetiser 吃 midst;5163;3581;2024-06-24;2024-06-24;2024-06-24;2024-06-25;infarction 仍然;finally 搂 than;EXPIRED;Approved;马虎 lest 捧
f6f40013-d4a3-4a76-a80d-8bf21aa79564;acknowledgment;12872;22453;2024-06-24;2024-06-24;2024-06-24;2024-06-24;软;charm 吸 phew;NOTSTART;In_Audit;马虎 from
4d698487-238a-4731-9267-eb50cee1a911;chasuble progression out;10986;7313;2024-06-24;2024-06-24;2024-06-24;2024-06-24;整齐;却;NOTSTART;Not_Audited;索性 why
708063c3-354c-469b-a7cb-1c938a0d1fb9;indeed inasmuch;12143;3785;2024-06-24;2024-06-24;2024-06-24;2024-06-24;inasmuch 捧 gadzooks;brr;EXPIRED;In_Audit;光 平坦
9a853553-a368-41cf-b7e8-566fe9c6076c;拉 毅然 绿;5165;5742;2024-06-24;2024-06-24;2024-06-24;2024-06-25;warning;快 decoder;CANCELED;Not_Audited;stock-in-trade boohoo 必然
f19e5e0b-63f6-408f-876c-85413062d9e5;minus;16773;28530;2024-06-24;2024-06-24;2024-06-25;2024-06-24;写;duh flare 很;EXPIRED;In_Audit;持 lycra
102e5943-e17a-4906-9951-cca42af1b816;forenenst mmm;2811;10033;2024-06-24;2024-06-24;2024-06-24;2024-06-24;写 upon beneath;单 清楚 一概;NOTSTART;Approved;phooey brr
