id;fundsname;wbsname;unitname;budgetsection;purpose;unit;jhi_number;unitprice;foreignexchange
ab210d1e-558b-44f6-9ab7-e462ddfc0a3e;咀 难道 barring;meanwhile;onto 果然 大约;boohoo aside 就;击 afore 跳;aw bonus;29447;3645.64;26495.43
659fc642-da1d-449a-90bb-cc946d14af25;around;when 稍微;finally 极其;pish consequently;剪 yowza consequently;仅仅 幸亏 meanwhile;27018;497.89;31808.79
777d349d-2d78-41ff-8ec5-10a30a3e810c;whoever;摊 boohoo woot;没有 after 只;更加;gosh;十分;31555;25158.55;23713
81c55590-349d-41a6-b7bc-6c1b35c1a1e6;绿油油 provided;ugh;if until ark;何尝;拖;event 攥 可;13949;23079.62;22526.04
86e9d967-d58b-45a2-9072-35396bed5066;accordion gadzooks;净;meh anenst 一起;pine;吮;carpet;9936;4502.38;10286.42
aed2be9e-f6a0-4d24-bde0-91448c503c08;打;细 down aside;opposite 不;huzzah;老实 拉;坐 excluding 当然;6920;757.34;13971.33
36921925-a2bf-4ec1-8974-aac6962fa37d;lest lest gee;literature switching;惟独;雪白;鲁莽 掐;逐渐 清楚 at;29390;26893.64;6633.34
640da0cc-ddc1-4ddf-9ac7-8c4748adee35;after;absent 捏;geez meanwhile duh;even 索性 since;优秀;amongst battery;21403;27670.08;11710.43
ca5894e2-89d2-4d1e-be78-33b92707c65b;搔 多亏 slot;minus 百般 wherever;now following 播;小;judge 细 ugh;since;26925;19207.75;32686.09
d18aebcd-ce58-4fce-aef5-7c41b672e33a;击 employer 必定;backburn an 最;熟练 tuxedo drat;pouch;yippee;几乎 shipping 冷;27540;8523.88;8004.93
