id;contractcode;contractname;projectwbsname;contracttype;jhi_year;amount;starttime;endtime;fileurl;secretlevel;status;remark;budgetamount;estimatedamount;implementedamount;difference
1;马虎;平坦 小;gadzooks;RESEARCH;16126;24410.68;2024-07-30;2024-07-30;少;SECRET;COMPLETED;indeed 极;16.33;29246.22;32652.7;15997.64
2;多 controversy meanwhile;times keyboard times;ouch;PILOT_PRODUCTION;16009;3280.36;2024-07-29;2024-07-29;consequently 多么;SECRET;INVALID;businessman;29140.64;5092.52;8059.76;23345.43
3;很 court as;or 很 about;别 spoon;PILOT_PRODUCTION;17641;9528.28;2024-07-30;2024-07-29;consequently 伟大;PUBLIC;TERMINATED;although;786.77;18114.87;30671.88;11347.49
4;before 持;熟练;if a jealousy;RESEARCH;5862;10805.14;2024-07-30;2024-07-30;扶 phew;SECRET;COMPLETED;off 清楚 ew;10217.59;23742.23;10432.34;1956.33
5;持 熟练 apud;encirclement plus;好些 啃;RESEARCH;3742;27855.98;2024-07-29;2024-07-30;特地;INTERNAL;TERMINATED;全 挖;25301.11;22986.84;8928.23;30355.47
6;却;更加 却;扶 concerning oh;TECHNICAL;20022;15118.64;2024-07-29;2024-07-29;抱 yum pfft;PUBLIC;EFFECTIVE;phew;16279.34;24483.36;28825.87;31463.81
7;熟练;启动;via;PILOT_PRODUCTION;20640;228.43;2024-07-30;2024-07-29;最 一概;SECRET;COMPLETED;jeweller haircut;9534.79;22708.65;30491.28;11565.19
8;大方 psst 抄;concerning;必然;RESEARCH;29781;30702.02;2024-07-29;2024-07-30;yowza;PUBLIC;TERMINATED;behalf warning until;21895.95;3159.37;10429.83;938.69
9;绿;坏;倒;RESEARCH;6579;9759.2;2024-07-29;2024-07-29;拖 挖;PUBLIC;INVALID;huzzah;21407.32;13876.23;23737.45;9009.51
10;aw 绿油油 of;敢情;audit yippee 滑;TECHNICAL;27101;17588.62;2024-07-30;2024-07-29;mmm 互相 hm;PUBLIC;EFFECTIVE;even amidst after;12702.83;12428.51;14520.68;10090.52
