id;subject;auxiliaryitem;unit;jhi_number;unitprice;totalprice
aecf8715-522f-4cec-86b9-61bb4ba42d27;Materialfee;略微;landform psst;dynamite once;16606.53;23288.21
a1e73a22-d274-4ed0-ba3f-3a24f7d8b771;Outsourcingfee;athwart;drat;掷;6706.38;31644.96
b762e062-1870-4eec-b21f-f3d5b0332671;Materialfee;volume uh-huh;坏 净 gee;搔 平常 exocrine;11190.06;6114.06
e19cdda8-41f2-4b99-8163-14c90beeb6c7;Specialfee;红 逐渐;marsh;twins epoch psst;2405.07;25832.05
4f7a594a-647e-490c-ac05-8c8f157b4397;Materialfee;击 guitar;resale;hmph which;2260.68;5223.24
469f5f47-b29d-4db4-9836-7d0731aa39b6;Materialfee;now;好在;as while rice;29254.91;5105.67
06701767-aca8-4df7-87c7-71c66e192068;Specialfee;than 坚固;loophole;bah;25981.93;29360.58
f262de0a-ae0f-486e-a4cd-4ac0dd2de812;Materialfee;at 大方 挥;jaw;聪明;2559.05;30183.81
fb6524b3-fe8a-4b2d-817f-47de5ff7de98;Outsourcingfee;how 勇敢 仿佛;champagne handball until;vice whereas;13177.66;30518.79
4a9fd523-3fc0-4bfb-b2fe-2852a98465ac;Specialfee;or opposite;几乎 小;even;9606.26;25083.57
