id;workbagid;workbagname;contractcode;contractname;planpaymentnode;planpaymentamount;actualpaymentamount;paymenttype;financialvoucherid
1;as;once;uh-huh;duh;carabao mid ick;31919.05;23110.84;BORROWING;yuck 推
2;仅 exhibit;黑不溜秋 gadzooks;cast;onto facet;gah;31873.58;29507.76;BORROWING;or 渐渐
3;当然 短 and;就 最 拧;as 持 although;for;全 within;11565.05;7203.35;BORROWING;细
4;一起 as;吃 how er;as outside bust;whoever 多亏;anti until;30149.53;7155.17;BORROWING;even 太 快
5;finally;matter liquor 软;红 倒 following;instead 拔;camp er;10620.88;4770.12;BORROWING;notwithstanding duel
6;yet oof 难道;都;必定 er;弹 ack ouch;apud 剪;4931.79;20743.79;BORROWING;pause as yuck
7;times 甜 neologism;till indeed;huzzah 格外 切;lining in but;what which 整;2222.37;4618.54;BORROWING;excluding 甜
8;按 舞 驾驶;woot aboard 格外;撕 aid tradition;撬;别 苦;15239.21;24722.53;BORROWING;平坦 一起 百般
9;under ew;互相;for pocket-watch 挖;mid sans;till;1281.19;4344.58;ACCOUNTING;尽 without 最
10;minus;except;whoa psst;oof ouch meanwhile;捏;18984.09;21758.83;ACCOUNTING;excluding
