id;jhi_type;subject;implementedamount;approvedamount;pendingimplementationamount;contractpaymentamount;managementregistrationnumber;financialregistrationnumber;contractbudgetamount;contractsigningamount;contractsettlementamount;unforeseeableamount;invoicepaymentamount;loanpaymentamount;accountoutstandingamount;pendingpaymentamount;pendinginvoiceamount
d686bc6e-b66f-4405-a2ce-72e80be28e86;17047;Materialfee;15724.83;19271.17;31000.52;24109.66;18132;27207;19759.52;12927.99;6818.96;13344.36;4775.89;3076.8;28030.68;17499.77;6826.17
7a413606-5e12-4671-a2a6-2e4616d25b52;24152;Materialfee;25193.03;13199.22;31331.89;29272.37;13515;23767;25579.09;12228.04;10812.41;28699.8;31729.06;30133.51;9059.33;5592.77;29817.65
4fe305e9-acc3-4ce9-a8ed-ccda0bee155a;28594;Specialfee;6672.05;7350.64;4575.6;18145.18;3544;7663;30369.73;27690.47;21460.33;17636.39;30176.79;26070.17;295.18;13373.35;27856.35
2dbfcc50-b21d-4024-a385-bffcaa6c0af5;13703;Materialfee;16869.28;25111.66;25150.32;19931.32;31000;2473;32626.34;26954.68;2291.8;13514.53;29778.95;19034.86;360.05;24918.4;10953.19
23ae3c76-f4b7-445d-9429-25e8130b1ff7;4987;Specialfee;21282.41;3434.66;15182.04;32114.39;1109;9956;21187.73;20051.73;12305.83;23881.72;10796.93;15606;5220.56;16529.54;10282.09
3aeccbe9-1e71-4b80-899f-dbcd65c81974;15508;Outsourcingfee;9581.52;12409.32;6361.35;31666.37;10380;3965;28876.81;20653.87;20681.08;19668.5;30664.74;3930.65;31841.06;15255.72;18363.91
dc00f315-0f41-4bd3-9f00-b6fedfa691af;21411;Outsourcingfee;13895.75;5255.17;12362.89;16552.24;14209;28713;19845.28;31531.54;28338.07;32686.68;25300.33;5972.03;16557.77;32138.73;4684.39
f31a27b7-0377-469b-a6c3-87853f8a5185;12830;Outsourcingfee;22393.08;2337.02;15883.47;15277.1;6346;6490;20211.97;16265.42;26087.83;19708.6;10245.07;7032.57;4306.35;22230.86;12506.27
64247b1b-084e-4c91-927b-90607f3aa883;29344;Materialfee;24615.83;18927.33;7516.52;7613.72;23688;23800;30853.31;22981.6;22173.41;1286.15;21894.58;12499.86;24310.75;13856.71;24876.64
49629041-b9f6-49d2-9b37-e6d2481b7be3;25888;Specialfee;24699.03;12670.76;11076.77;5696.32;10527;8934;30511.13;23901.23;17548.92;30315.84;21910.96;8512.31;2756.79;26900.3;10672.3
