id;cycleplanname;secretlevel;starttime;endtime;actualstarttime;actualendtime;responsiblename;status;audit_status
87f6d39f-8a55-469e-ac5f-3e9f8884c26c;大约 走 苦;SECRET;2024-06-24;2024-06-24;2024-06-24;2024-06-25;笔直;IN_DEADLINE;Not_Audited
fcfe30fd-4b7c-41ed-98cb-617fe686d69c;although series;NOSECTET_INTERNAL;2024-06-25;2024-06-24;2024-06-24;2024-06-24;吐 好些 苦;OVERDUE;Approved
2c7b1a89-8397-47d6-85ef-903264736554;huzzah 极其 mmm;SECRET;2024-06-24;2024-06-24;2024-06-25;2024-06-25;仅 舞 大;IN_DEADLINE;Not_Audited
8ab52ae7-af69-422c-8ccf-0887948e2b9c;擦;SECRET;2024-06-24;2024-06-24;2024-06-25;2024-06-24;ugh incidentally;OVERDUE;Not_Audited
a1e72468-a47f-4956-85b0-d679e8f3e5a7;zowie across 大方;NOSECTET_INTERNAL;2024-06-24;2024-06-24;2024-06-24;2024-06-24;雪白 整齐 仅;IN_DEADLINE;In_Audit
ede1788a-09f4-4401-a549-2217b938595b;掘;PUBLIC;2024-06-25;2024-06-24;2024-06-24;2024-06-24;unlike across;IN_DEADLINE;Approved
73d27618-2476-4ad1-8303-3d3d033b67ad;beneath 热 gah;NOSECTET_INTERNAL;2024-06-24;2024-06-24;2024-06-24;2024-06-25;yahoo since;OVERDUE;Not_Audited
f5a63adf-13d5-403e-bd67-b0077afd492a;beneath to thunderhead;PUBLIC;2024-06-25;2024-06-24;2024-06-24;2024-06-24;runway 聪明 大方;OVERDUE;Approved
62d48833-4e36-4f0e-871b-8e8764cb4cb0;血淋淋 furthermore;SECRET;2024-06-25;2024-06-25;2024-06-24;2024-06-24;newsstand 勇敢;IN_DEADLINE;Approved
7b435b83-74ba-4e61-bc7c-9f4c223b15df;indeed 大方 逐渐;NOSECTET_INTERNAL;2024-06-24;2024-06-24;2024-06-24;2024-06-24;near 只 webinar;IN_DEADLINE;Approved
