id;code;name;parentcode;jhi_level;status;description
1;conference;indeed;搡 er;很;indeed;carload 不 what
2;转动 都;woot despite uh-huh;捧;with;雪白 插;坏 长
3;转动;dinner yippee 好些;brr carpet 反正;duh amid an;note zowie;揍
4;provided;yet 喝;甜 ouch 干脆;uh-huh;compost astride;撬 果然
5;一共;捧;共 juice;hmph 聪明 喝;excluding rip use;whether woot
6;pish round throughout;整 considering;可;许多 老实 仍然;打 finally;长 老实
7;notwithstanding;倒;till supposing 爬;gazebo 操作 whose;坏 好 撬;face
8;regarding;捏 by;an gap notwithstanding;yet 揍 fooey;ouch;抽 um until
9;workshop;摔 whereas;instead;扭;ick 生动 yahoo;绿 搂 yum
10;绿油油 meh 格外;centimeter 轻松;驾驶 for regarding;捶;athwart hm past;拆 tonight
