id;name;description;jhi_role;officersnum
ee0afc51-11ce-4d5d-b52e-cf39c92f99fd;统统 大 phooey;平坦 平常 一定;cygnet velodrome;22457
aaa1da6d-e72f-4fe9-87bf-54652afbcb03;cowboy;血淋淋 rust astride;硬;12039
757b36d1-14e1-4cd7-a9b3-c174b5b38282;of;平坦 sonnet;攥 though;1525
c11ce4c5-465a-42c7-af5d-558de85c5e0b;抿 抬 near;捡 红 duh;ick 撒;28234
206c28a0-1222-4b82-9f03-b3c17ce8ac5c;paddock aw drat;hm yahoo;geez mukluk;32047
cec6cc04-d4cd-4d69-aaab-3c256cf5bc3e;pish;supplier 马虎 consequently;why ew;27689
e199c9be-e705-478a-a602-26051381c352;yahoo under;撕 times;meanwhile 一概 aside;16400
d09d9fbb-ff74-4eb5-8134-631d045b6a2e;next;jogging;besides mid;1116
b4f00b4b-be6e-4d5d-b17b-a590fd18c5ad;alongside afore until;细;opposite;16845
29437df1-00be-450f-a1fe-6aedbfab5f34;粗 before likewise;beneath 一共;yippee 雪白 共;2565
