id;standardtype;standardname;mark
3fac4052-f044-4a75-b834-925b9aae01fd;24880;versus;23651.04
6ad20c1d-e3ba-4f3e-a4d8-b7562b9debcb;98;抚 坐;15964.45
93e6f684-ebbc-4fe5-81c9-674e3240c91f;11344;lest;19440.6
26f12545-3850-43e3-a349-da1f9b8e1d66;25434;geez teacher by;20562.98
3b5dcd48-a778-4795-9fac-4e1f27649e0f;7220;特地 next 好些;16472.48
259c7ede-3d89-4049-8088-88e3c64a5b79;32425;却 pencil;12029
362e3ad0-7a71-47ce-9baf-a5bc239087e4;10867;捧 平常 but;5858.17
175bb107-02ff-48b9-ad88-78829264a827;4076;捧 fooey;30724.09
07bb2b70-a8a4-4bee-844e-1a6ae127307a;7663;hmph 好 a;2737.95
ea922924-e396-4a90-8b33-2f28ae04ecf9;27957;against furthermore 敲;12166.87
