id;name;description
73b618ce-791d-470f-ba2b-184b06ef9646;supposing;philosopher
84985803-6915-407f-adc9-3a698ea6c1ef;even;互相
e3b4859c-1e21-48f5-9db0-6e3ded0217ca;撒 许多 整齐;熟练 没有
cd6365e0-f8bd-470c-b97b-a0758fb787d5;击 mmm;but inasmuch
cc6d1f96-5dd8-411b-9643-39f3551e707f;however;cassock 快
8a51134e-9300-4313-89a8-5cd9d6f6fed8;against duh;好
c8a5d211-50af-4fdb-8bcf-59e9cf4309fd;yowza;播
cfea914a-9367-4e1d-898b-8aafecf84832;finally;骨碌碌 粗 掐
e21d4896-4a12-4b53-b9ec-33e584410400;全 yuck;whoever
74427acf-cb14-461a-a820-f532988f733d;攥 and 慢;yum 冷
