id;paymentid;contractcode;contractname;wbsid;wbsname;amount
1;underneath 必定;毅然 unless;excepting;anti because 极;um walrus 索性;10280.79
2;against 慢 猛然;till um against;past 鲁莽 勇敢;撕;van deduce 可;12380.23
3;besides;一起 duh among;pace few;特地;armadillo actress apropos;17292.93
4;吸;持 mouth anti;plus;仿佛 phew 好在;eek;19192.35
5;滑 拨 under;依然 何尝 细;at 必定 粗;than 极其;拧;9557.12
6;推;很 ah through;伟大 极其 where;pfft;supposing;31180.07
7;yuck;血淋淋 while;whereas 拣 撞;times before 特地;alongside;15516.48
8;拿 掘 摸;fooey 共;monastery;okra next;整齐 硬 considering;30951.6
9;consequently;whenever mmm 仅;爬 assault pup;ack athwart 干脆;坚固 跳 wait;15841.4
10;about essence;ugh;or or 大方;pfft 抿 全;yippee;27551.76
