id;name;source;unit;jhi_number;unitprice;materialfee;specialfee;outsourcingfee;totalbudgetprice
b0ad68a2-41ac-4d74-92e1-0cc073a2bd74;滑;a;indeed;boohoo;24905.46;4834.28;23635.27;22165.33;30377.39
871e7693-b51f-4be4-be8a-f718f5c35164;anenst ew;都 failing;that 好些 supposing;干脆 平坦;23987.03;5659.13;584.29;13200.89;12943.78
9b4828e7-8e39-45ee-adf7-ac17ca46bcad;全 拿;work;整齐;太 gee;2795.39;29206.84;10854.36;21281.08;11234.88
04c2a3b8-59cf-4893-871b-6d553d05518d;jail want 坏;舞 擦 by;plus;eek 仅 多么;21509.95;7588.77;26322.42;11364.59;12457.6
25980b94-36a0-4500-a8eb-4bc4b27c39cf;or;once 几乎 versus;vice siege where;whose 仍然 until;19491.57;784.28;17249.56;25189.74;14453.82
feec9459-ca6b-409f-94f7-f5901b01dd04;charger;马虎 upon 擒;细 about bargain;何尝 aboard beneath;30929.03;16875.38;7162.72;11923.76;20577.43
01ec5053-988d-4c32-af19-59faee5c8734;没;what along;gee beside 挥;太;30654.43;67.02;22519.82;712.21;3695.84
77e26547-7f32-41c2-88e2-2cf589d50981;抓;even among versus;but;whose out;21080.32;32184.3;29313.59;21923.75;2863.28
5351c077-9430-4b67-89d3-c720db41faec;read 勇敢;though 扶;since;till;18623.37;3030.98;5598.36;21824.49;30269.29
5677e05b-9bd4-4016-96d0-65d8d3235e85;绿 跑;别;whoa and;一味 athwart morsel;29295.22;31313.48;14326.67;16187.59;8538.94
