id;fundsid;jhi_year;budgit;funding
9f337cf6-6837-4f48-9855-e74a49aa9d8e;冷;10160;22941.78;32094.99
855bb6e8-808f-48ff-a2c1-a0abef9907d2;hmph and;30616;4932.56;24944.98
62474c3b-de85-46ac-8d20-bddb71d68be8;geez concerning 抓;374;19102.26;27172.48
33b8e252-598d-4966-b164-02197d09ccdf;多亏 单 关闭;17407;11086.09;26436.23
2cee2f3e-af39-4d4d-b8c1-85dcf2a6c192;aw 掷;19668;14593.1;16805.85
db334489-c95b-49fe-a25c-ba51272bc3bc;慢 全 against;13729;18579.14;26947.31
c823877d-e75b-4f1e-97b8-2237679aec8a;nor 相当;26717;14387.87;8140.49
62fc0877-b935-4f8c-9df9-c31114a0d60a;hm sushi 抚;32466;13858.02;18567.27
991f1def-cae3-4dc4-b0dd-94b0c54cf08c;where 飞 via;15714;31407.65;22654.95
679f2514-dd6d-4be6-bd2f-ad09e2cc3eed;phooey;22726;23872.51;24043.32
