id;name;outdeportment;indeportment;adjusttime;projectname;deportment;projectleader;secretlevel;audit_status
fc7ea069-7a11-45fa-8118-e692f1787182;平常;当然 太 which;brr ouch;2024-06-25;eek zowie 逐步;走;for 大方;NOSECTET_INTERNAL;In_Audit
5cf58cec-6c15-4e25-8926-feb26c232f05;phew 聪明;since;whether 启动 into;2024-06-24;掘 apud;present 勇敢;towards;NOSECTET_INTERNAL;In_Audit
394bed54-5c71-4457-8bab-de30b33ebc7c;gah whose;一道 nor;throughout;2024-06-24;considering;难道;inasmuch against;PUBLIC;Not_Audited
c432f4ea-782d-41e9-9234-2a2a1e234bfd;倒 多亏 搂;consulting 跳 finally;diam 干脆 affiliate;2024-06-24;midst;推 捡;ouch 劈 amidst;NOSECTET_INTERNAL;Not_Audited
4c5f5245-e7e6-4991-a4c0-46d2e3dab60e;ew;inasmuch;past amongst versus;2024-06-24;极 仅;擅自 倒 摸;um qua;SECRET;Approved
8d38746f-90ab-4c63-ab47-e1421d92e4b8;lest yippee insulation;多么;barring;2024-06-24;outside near beyond;搀 boohoo brr;before;SECRET;In_Audit
4b29b269-44fb-4782-a183-20ccae221cdc;hence 咬;搂 woot concerning;猛然;2024-06-24;搀;马虎 少;oof 剪;NOSECTET_INTERNAL;In_Audit
5332656e-d7ac-4ce0-b821-33268d67c8e6;who 擒 pfft;仅 ugh;like;2024-06-24;even 共;多亏 披 notwithstanding;吞 indeed 最;SECRET;Approved
1f025b61-01aa-493e-ba3b-0c7a4f159b8b;必定;ack;捶 擅自;2024-06-24;粗;走;yowza;NOSECTET_INTERNAL;Not_Audited
cf016d35-6afb-46a3-ac49-8a2449f4fa12;好在 around wherever;果然 whenever;eek 太 psst;2024-06-24;画 plus;whereas;uh-huh 好在 excepting;PUBLIC;Approved
