id;jhi_year;deprotment;createtime;status;totalmark;mark;ratingpersonname;ratingdepartment;ratingtimg
1;29403;port;2024-06-13;23127;19648.49;18754.92;governance;劈 拣;2024-06-13
2;793;considering as 移动;2024-06-13;7190;23189.44;4010.89;共;yahoo once eek;2024-06-14
3;11691;扭 全部;2024-06-14;3144;19003.37;1405.36;ah 轻松;throughout hmph;2024-06-13
4;26349;whenever hence turban;2024-06-13;2642;8976.52;24960.49;notwithstanding 举;却 更加 坏;2024-06-13
5;11706;ha 冷;2024-06-14;17342;17854.87;16217.01;掐;按 果然;2024-06-14
6;12247;who;2024-06-13;10607;15427.24;25800.86;outside 细;even;2024-06-13
7;2514;gosh 全;2024-06-13;16311;20008.07;8522.01;banjo 苦 planter;pound;2024-06-14
8;9583;inside;2024-06-13;4993;11607.83;25844.57;yowza;gee 多亏 全;2024-06-14
9;25224;绿 伟大;2024-06-13;25936;15601.31;24877.19;since 特地;操作 伟大;2024-06-13
10;7162;小 um;2024-06-13;24492;29345.6;29630.51;全;clockwork;2024-06-14
