id;outsourcingcontractid;outsourcingcontractname;name;planpaymenttime;planpaymentamount
1;pace;fooey;yippee;2024-10-21;32113.47
2;gah 却 than;huzzah;撒 没 nightmare;2024-10-21;32544.66
3;坚固 lest like;despite;爬 whoever;2024-10-21;16175.73
4;nor;versus 仍然;gosh 比较 整齐;2024-10-20;13462.03
5;nor ugh;软 theft;since ack;2024-10-20;30979.99
6;一道 after 不;nor ew 马虎;against split;2024-10-21;1426.83
7;ew;whereas since yet;清楚 净 crocus;2024-10-20;2477.52
8;fooey nor pfft;where 搀 where;around;2024-10-20;30341.72
9;icebreaker 果然;by yet;denominator snow;2024-10-20;19139.43
10;清楚;fledgling guy;given pioneer;2024-10-20;16095.04
