id;monthplanname;month;secretlevel;creatorname;status;audit_status
7d8d1777-cfdb-4ed6-a10c-d90d16592590;mmm 托 elixir;2024-06-24;SECRET;最 摇 捏;PUBLISHED;Not_Audited
a1f460a7-313f-48a0-a7dd-c84b128fdd93;an;2024-06-24;PUBLIC;indeed abaft console;PUBLISHED;In_Audit
f62527a3-f846-4ae6-98be-af00109dd774;何尝 比较 unlike;2024-06-24;PUBLIC;provided 很 粗;NOTIFIED;Approved
e44aca7a-6f3c-459a-b667-7a7ec8e61cea;amongst;2024-06-24;PUBLIC;accelerant;IN_PIPELINE;In_Audit
600eccac-16e5-46c9-8804-8e10e3592301;搂 an throughout;2024-06-24;PUBLIC;慢 全部 nougat;NOTIFIED;Approved
55b2a775-5d37-40c2-90d9-88fa936c4199;excepting;2024-06-24;NOSECTET_INTERNAL;uh-huh 极;NOTIFIED;Not_Audited
a4f72f60-974d-4cc3-862a-0383dffdc0a2;劈 boo 就;2024-06-25;NOSECTET_INTERNAL;关闭 gee;NOTIFIED;Not_Audited
ab6095da-7707-4ba3-b780-91050fc07cc7;一同;2024-06-24;NOSECTET_INTERNAL;though;PUBLISHED;Approved
7a42835d-1e67-45aa-ba22-28485a95f388;捣 pfft;2024-06-24;SECRET;飞;PUBLISHED;In_Audit
ccc10022-f286-401d-be9c-7ac2ab0e38aa;挖 咬 bah;2024-06-24;PUBLIC;respect;PUBLISHED;In_Audit
