id;department;jhi_year;starttime;endtime;status;secretlevel;foreigncurrency;totalbudget;fundsinplace;responsibleunitname;audittime;accountbank
5f2414bd-a5c4-4d01-867e-322294563098;熟练;11904;2024-07-30;2024-07-29;21899;SECRET;30789.57;30334.94;13110.42;都 above 绿;2024-07-30;anti
aca3b08e-812c-4144-9466-1a4d03a768c9;百般 unless 捏;27359;2024-07-30;2024-07-30;7679;SECRET;15096.51;26247.76;15443.59;finally than;2024-07-30;cymbal 搡 lunge
14fd4d74-e710-4de9-a31f-b3f690762517;按 抄 unless;30042;2024-07-30;2024-07-30;5016;NOSECTET_INTERNAL;5626.12;17636.48;29950.72;near;2024-07-29;provided along
e64f6fe3-b72c-4f56-a2fd-1c39b4cd630b;比较;31167;2024-07-29;2024-07-30;18032;NOSECTET_INTERNAL;10279.73;16121.46;17980.86;an incidentally;2024-07-29;拨 切
c70983bd-d3ad-4b27-b978-7ebd04a00a10;全 撑 掷;28094;2024-07-30;2024-07-30;25103;PUBLIC;3758.44;2447.67;27767.89;eek pish astride;2024-07-30;坐 if 依然
a3401f8c-c644-4f81-9da6-d2cf77241697;amongst;26421;2024-07-30;2024-07-29;4400;PUBLIC;12932.3;1075.03;11708.11;就 尽 selection;2024-07-30;撕
61877463-0339-412b-b812-5d50b29568e3;what until;20820;2024-07-29;2024-07-30;20948;PUBLIC;7753.41;11052.81;7888.57;screening hmph;2024-07-30;sampan
af5a8692-9820-43b8-9d26-3c8672296e28;搜 oh 捡;18873;2024-07-30;2024-07-29;4138;PUBLIC;25810.53;15507.92;20475.52;吃;2024-07-29;勇敢 开
8c2a0eb9-8155-400b-a6d6-f5ef62589df7;极 相当;25409;2024-07-29;2024-07-30;31481;NOSECTET_INTERNAL;26771.86;8094.63;20698.15;unlike;2024-07-29;a 摔
430ca6dd-e128-4224-a05e-b0da77a631d9;没;31199;2024-07-30;2024-07-30;6976;SECRET;23920.79;9609.71;32131.48;坚固 fooey down;2024-07-29;多亏 劈
