id;outsourcingexecuteid;matarialname;purchasingmethod;budgit;needtime;planusetime;supplierid;price;secretlevel
1;2536;搀 unless 抄;21877;27098.49;2024-06-14;2024-06-13;24480;14793.14;SECRET
2;11180;why;12036;1255.74;2024-06-13;2024-06-13;20866;1966.96;SECRET
3;31823;sombrero silence;30067;7227.38;2024-06-13;2024-06-14;10050;26087.73;PUBLIC
4;4254;waiting;2709;21266.74;2024-06-13;2024-06-13;8770;8519.51;SECRET
5;27569;grill;19476;18841.75;2024-06-13;2024-06-14;15830;20499.33;SECRET
6;10454;moody 苦;21234;7027.21;2024-06-14;2024-06-13;28242;6876.47;PUBLIC
7;31930;互相 however;7116;20486.93;2024-06-14;2024-06-13;12186;28644.82;PUBLIC
8;290;吮 捺 ugh;1809;2175.38;2024-06-13;2024-06-13;21330;10995.8;PUBLIC
9;5301;yowza 坚固 because;24080;31066.4;2024-06-13;2024-06-13;26744;6480.87;SECRET
10;9238;yum 搜 偏偏;9071;19936.15;2024-06-14;2024-06-13;16436;18643.96;SECRET
