id;outsourcingplanid;matarialname;purchasingmethod;budgit;needtime;planusetime;supplierid;price;secretlevel;audit_status
1;7018;trading abaft incidentally;2951;14913.69;2024-06-13;2024-06-13;29685;22545.83;NOSECTET_INTERNAL;In_Audit
2;815;撬;3924;15356.82;2024-06-13;2024-06-13;25567;16972.89;SECRET;In_Audit
3;13439;转动 since;12785;31485.57;2024-06-13;2024-06-14;4527;981.97;SECRET;Not_Audited
4;20212;幸亏 拆;6029;17277.55;2024-06-13;2024-06-13;8656;12436.68;SECRET;Approved
5;18304;yippee;16980;5618.42;2024-06-14;2024-06-14;21637;5561.68;NOSECTET_INTERNAL;Approved
6;25523;统统 多 倒;31991;11203.14;2024-06-13;2024-06-13;732;15221.44;NOSECTET_INTERNAL;Approved
7;13092;why 太;29501;1433.67;2024-06-14;2024-06-13;1926;20111.57;PUBLIC;In_Audit
8;4124;drat 倒;21486;16853.26;2024-06-14;2024-06-13;20620;10631.25;PUBLIC;Approved
9;12445;finally 稍微 黑不溜秋;28349;18843.73;2024-06-13;2024-06-13;12386;2094.78;NOSECTET_INTERNAL;Not_Audited
10;6174;光 倒;26161;28795.15;2024-06-14;2024-06-13;21715;32517.15;NOSECTET_INTERNAL;In_Audit
