id;wbsid;wbsname;parentwbsid;unit;unitprice;jhi_number;subjectid;subjectname;invoicepaymentamount;borrowingpaymentamount;accountingamount
1;更加 掷;抄 oof dredger;besides which;ack 大;14092.85;14442.57;2524;只 though;25423.63;28488.51;4356.96
2;blah;最 versus;摘 红;慢;16031.68;32488.42;11693;aw plus at;13793.66;30984.31;20178.49
3;整齐 ugh;and wherever gosh;under 不 共;across;17922.23;30872.09;29210;撞;25075.97;1639.76;697.12
4;光 ugh 逐渐;sans;per out 平坦;boohoo amid;19900.03;6279.63;1688;撑;2654.91;1187.4;22808.01
5;how ick after;倒 伟大 搂;as;grid;18402.13;917.44;11581;挖 atop wherever;28066.53;16632.75;10571.61
6;phew 倒 笔直;太 相当;ouch;gee past gadzooks;23741.92;5724.1;3394;shopper;12071.37;21598.13;20920.56
7;仿佛;也许 ick;as um attention;whoa 抚;28330.66;29961.34;9560;spine;9816.41;11684.91;24036.93
8;ugh 掘;than;毅然;舞;14421.54;19736.2;13610;鲁莽 request aw;23864.12;11777.01;8240.49
9;eaves 快;through;摇 舞 幸亏;平坦 although;10378.02;25612.03;4433;劈 subway aw;5693.93;7046.33;10813.4
10;to about;全;撑 硬 抿;仿佛 the nor;6916.88;22822.37;5093;beside how whoa;19481.04;8987.73;7307.22
