id;permissionname;description
9b6a01cc-326d-477f-b4b9-716d13a5ee8d;cashew 搔;widget inside whose
9bb527fd-1e4b-48a9-94fa-44436b236c2e;一共 太 lest;boo
92ceb6a1-ad96-4877-9f0e-894e6976f514;for 吐 可;woot
b008b737-bce0-4e7c-a61b-eafd39f36079;gazelle 雪白;fooey
24000e01-49bf-4f7b-a4f9-a972debce278;but 笔直;birthday 总共
29731cb7-cb6a-47df-978f-30e646e0ebf5;很;alongside
1da25968-195c-4f03-a12f-535414539e71;entrepreneur;弹
5da47446-31f0-43ce-8390-d11aeb2e97fa;inside 索性;拆 toward 摇
8d752937-af36-4281-80ff-61ca4f5254a5;phooey 别 干脆;abaft aha by
2fd75377-67ed-474a-b3ab-19e1ff30e0a2;好;supposing how
