id;planreturnsname;plantype;planlevel;description;actualstarttime;actualendtime;deliverables;progress;status;impactanalysis;returnstime;rejectionreason;returnsstatus
9e057262-c04a-4895-8b8a-2ce79adca387;uh-huh 咀;24300;WEEK;provided um 写;2024-07-30;2024-07-29;最 好在 拍;601;OVERDUE;about;2024-07-30;even oof;Completed
face96d2-0a30-4cb0-88f2-a007bb37035f;trapezium comptroller 掐;17695;CYCLE;吸 android;2024-07-30;2024-07-29;伟大 极;32462;OVERDUE;搂;2024-07-30;aside below;Not_Comlated
193d8fc1-f026-40be-a537-b293effa2c5d;pilot 整齐 鲁莽;15913;MONTH;一定 boo;2024-07-29;2024-07-30;fitness inasmuch;1198;OVERDUE;拎 ignorance;2024-07-30;滑 even with;Completed
876114e4-deeb-4c64-ae53-07edc320f65d;硬;18492;CYCLE;aspect;2024-07-29;2024-07-30;播 整齐 击;14126;IN_DEADLINE;举;2024-07-30;坚固 out;Not_Comlated
7038fa7b-e525-45ea-aee8-96508e9589a0;however;2673;CYCLE;yowza 切 wharf;2024-07-30;2024-07-30;minus amongst;26622;OVERDUE;难道 into hmph;2024-07-30;round drat wasting;Not_Comlated
6aee8048-0792-432a-8b36-4e34689ea726;till oof 扶;6756;CYCLE;全部 upon;2024-07-30;2024-07-30;软 搔 supposing;22474;IN_DEADLINE;to;2024-07-30;by 坚固 for;Not_Comlated
aa1cc5ee-39de-41e1-b3f7-3388a21bcb3c;bah beyond;31101;CYCLE;meh bah;2024-07-30;2024-07-30;whereas although;32578;IN_DEADLINE;索性 practice 仅;2024-07-30;整 弹 差点儿;Not_Comlated
365c7b04-ff8f-489c-8d6b-d95c4fb09d24;幸亏;16395;WEEK;一味 tracking 清楚;2024-07-30;2024-07-30;pro drat;8544;IN_DEADLINE;一起 obstacle at;2024-07-30;where 爬 while;Completed
dd00806d-6025-4c30-aea8-7eebaa065249;supposing;17113;MONTH;on bah 仅;2024-07-30;2024-07-30;依然 seminar ick;27630;OVERDUE;er 熟练;2024-07-30;hemisphere charger 抄;Completed
0ff63fef-df2d-4f55-a5d8-5d4d5b8374c0;until 细;18903;MONTH;midst earmuffs geez;2024-07-29;2024-07-29;骨碌碌 meridian absent;24664;OVERDUE;滑 搀 拧;2024-07-29;净 熟练;Not_Comlated
