id;planreturnsname;starttime;endtime;plantype;returnstime;returnsstatus
160e6a16-9981-4d06-8ff0-013a2b6a08ef;gah 苦;2024-06-24;2024-06-25;25128;2024-06-24;Completed
431f22ad-e02c-4239-9a5c-15e88de82b11;if ick;2024-06-24;2024-06-24;5686;2024-06-24;Completed
a3a72a2c-f707-473d-9614-d7c626428635;偏偏 吞;2024-06-24;2024-06-24;20872;2024-06-24;Not_Comlated
52cb04e9-1bf3-4859-b4b0-75394c0d6855;多;2024-06-24;2024-06-24;16190;2024-06-25;Not_Comlated
015eb664-b0d1-4d36-a9e5-46155b02a111;who outside 长;2024-06-24;2024-06-24;26548;2024-06-25;Completed
292f0b37-fe52-42e0-84c5-92f9513b36fd;yum;2024-06-24;2024-06-25;28541;2024-06-24;Completed
d1504ff6-79d7-4368-aa0a-2393838e1f71;干脆;2024-06-24;2024-06-25;21186;2024-06-24;Not_Comlated
5770be58-439a-431c-ad46-77142d4d1195;舞;2024-06-24;2024-06-24;17047;2024-06-24;Completed
13dfd4c6-e0f8-4bca-90c7-accb968d2569;cope 推 yippee;2024-06-24;2024-06-24;12742;2024-06-24;Not_Comlated
cde5f55b-f06f-4a54-b0b8-d04c59cd6bb4;一齐 关闭;2024-06-24;2024-06-25;4525;2024-06-24;Completed
