id;strategyname;jhi_number;jhi_type
fb5d3968-98cc-41d1-84a6-230ef43504ef;wherever 马虎;14353;推 eek
8f57f1d6-23c1-4d95-b54e-276051b5fdb5;observatory;17025;subcontractor 硬 whack
18aec3db-aadd-4f31-bda8-e402e3baba0a;whoa toll;11554;nor nor
1412bc72-8db0-4514-b78a-068e7634a6fa;画;31346;appetite
c7e3cf05-7adb-474c-995e-47de60ed24b6;苦 nor;26782;once 捧
02fb709c-8ed9-4832-a24b-75a937f7507f;furthermore accord;20282;although round modem
fe616b77-0611-403e-9f19-4733cfb61cc0;blowgun amid indeed;2196;since
bba80992-d01f-4139-b723-0264c7505a4a;down how;16638;熟练
23359e0d-4ac3-4f2d-be7f-ab658afedf41;under;25520;if 就
cc26b54d-df4a-4eba-a9a6-db6cc732fc45;which 别 逐步;24631;ouch pish
