id;planname;belongproject;belongplanid;secretlevel;plantype;planlevel;planstage;readytime;description;deliverables;planobjectives;preplan;starttime;endtime;actualstarttime;actualendtime;progress;progresstype;iskey;status;audit_status;returns;remark
accf3449-3eaf-4894-8d04-0c3567ff4bcd;热;numismatist 就 instead;硬;INTERNAL;4623;MONTH;挡 blah 笔直;2024-07-29;um;rainmaker;播 or;清楚;2024-07-29;2024-07-30;2024-07-30;2024-07-30;10536;COMPLETED;20480;OVERDUE;NOT_AUDITED;till;chime 整 undertaker
71bd1807-4e77-435c-b6a0-ff5b074620d8;instead;but 抿;比较 互相 besides;PUBLIC;23099;MONTH;throughout 熟练;2024-07-30;outside oof;yowza lest;past 关闭 只;consul 全部 反正;2024-07-30;2024-07-29;2024-07-29;2024-07-30;26757;NOT_START;848;IN_DEADLINE;IN_AUDIT;duffel;why finally
5ff7150c-c65f-46bb-bcda-b62426d716d0;apropos 多 差点儿;though;despite 吞;INTERNAL;27832;CYCLE;oof near;2024-07-30;一共;坏;aluminium for;切 渐渐;2024-07-30;2024-07-29;2024-07-30;2024-07-29;4189;COMPLETED;31875;IN_DEADLINE;APPROVED;雪白;whoever ugh inasmuch
90aa63be-7ac0-4d92-b955-1e321cf692ba;underneath;zowie;down;PUBLIC;26124;YEAR;做;2024-07-29;what;攥 ha;circadian;meanwhile 拨;2024-07-30;2024-07-30;2024-07-29;2024-07-29;10781;START;26329;IN_DEADLINE;IN_AUDIT;oh fooey;restoration 掷
a79a6f91-22d7-45d4-b99f-c1ee2e3b5ff5;beside likewise;meh hmph;蠕动 adobe 移动;PUBLIC;11622;YEAR;太 crewmen;2024-07-29;saw or 移动;幸亏 toward instead;polarisation;倒 平常 however;2024-07-30;2024-07-30;2024-07-29;2024-07-29;7821;COMPLETED;31964;OVERDUE;NOT_AUDITED;whoever 冷;敢情 大方 大约
b9f44d41-4fc0-4634-8c7b-1a9b0f816e8b;逐渐 都 yahoo;though;快 一定;SECRET;17169;CYCLE;搔;2024-07-30;抄 yuck;concerning;捉 握;画 hence;2024-07-30;2024-07-29;2024-07-29;2024-07-30;21258;START;3671;OVERDUE;APPROVED;掘;搡
b89e8c64-3b50-4f66-8459-d1354133d26c;不 擅自;aha;掐;PUBLIC;21723;YEAR;干脆 depth;2024-07-29;that hence;劈 滑;粗 拿;粗 beam;2024-07-29;2024-07-30;2024-07-30;2024-07-29;19017;NOT_START;5563;OVERDUE;IN_AUDIT;嚼;抱 一齐
7ac2c166-7d73-450e-94d8-bd396de5f339;regarding;仅 amidst;duh 尽;SECRET;11705;YEAR;huzzah;2024-07-29;拿;after;violation given;更 where garter;2024-07-30;2024-07-29;2024-07-30;2024-07-29;3764;NOT_START;25017;IN_DEADLINE;IN_AUDIT;好在;atop phew lest
d5d7b214-2c1c-4489-8084-8b63d0955a15;小 一齐;unless although likewise;啃 uh-huh;PUBLIC;26711;YEAR;捡;2024-07-30;quiet creek following;that below 摇;毅然 toward 太;register;2024-07-29;2024-07-29;2024-07-29;2024-07-30;25157;START;29534;IN_DEADLINE;NOT_AUDITED;since;拆 红 好在
618f86e7-b5b8-45d9-ae1f-46fde1bb43ec;多么 user a;seashore;during 惟独;CONFIDENTIAL;24910;STAGE;node 笔直;2024-07-29;tenet or;别 um;ha 抽;没有 unlike;2024-07-29;2024-07-29;2024-07-29;2024-07-29;11274;COMPLETED;687;OVERDUE;APPROVED;清楚;mine
