id;wbsspare_1;wbsspare_2;wbsspare_3;wbsspare_4;wbsspare_5
48afc314-bdd4-4257-9dab-5b8d177fe6de;比较;whether;meh 相当;gah gee 苦;ugh outside near
72351d31-ef7f-45a2-a988-4458b11d3bf6;驾驶 but relish;摘 sport 大约;撑 雪白;多 after 老实;ceramic winery 一同
852eacfe-103b-4e65-99dc-ae7706a56cb9;fleece 却;even;快 with secret;round 抛;伟大 ha
a2a38b67-f7e6-4db4-a49c-7a3215564d04;pish 共 搜;fooey;干脆 since gee;zowie 关闭 ashram;ick till 光
52090367-111d-4b9b-bd7e-913d500402fb;几乎;considering cupola;athwart;zowie 可;跳
ee5dc502-620f-417d-b542-f912b8f8f791;out aw ah;phew till 平常;少 hmph;below;training unlike 尽
5970c810-0d8b-48c2-a3f1-619f89fbcba9;别 when;airspace;逐步 till;鲁莽 among;inasmuch 也许 forenenst
3a9cc55e-c53b-4f39-8c26-1ffc0b031345;索性 or working;in indeed;热;摔 雪白;as whenever yippee
ff2662f8-b9b8-4b47-b44e-4a2dfda38b0f;by into 举;qua whose;bread;清楚 how zowie;弹 yuck beneath
1adbd0a9-5af6-497d-9fb5-48b6140c27df;relaxation 捶;当然;软 ah sneakers;wherever toward;整齐 plus photography
