id;progressname;progresstype;workfocus;createtime;creatorname;responsiblename;status;audit_status
93b603c8-a822-41f3-aa99-5ad5cc96f44f;剪 摘 golf;MONTH;as into;2024-06-24;as ack 插;摸 once location;Start;Not_Audited
9340d2b6-f149-4da0-9bad-643d7af3c551;pony 多亏;MONTH;捏 organising;2024-06-24;蠕动;坚固 within;Completed;Not_Audited
a55ed3e0-3de0-4394-9a0a-4e30448a14f4;搀 scrim;WEEK;pfft 小 part;2024-06-24;yuck;雪白 provided finally;Not_start;In_Audit
31e69bfb-6dd5-4d06-a26f-73010a7c47c8;都;MONTH;during despite chimpanzee;2024-06-24;eleventh;now uh-huh 一道;Start;Not_Audited
6c675aa3-10dc-4a8a-b1ef-b14761a3e50d;必定 慢;MONTH;considering;2024-06-25;黑不溜秋 beyond 全;生动 thing 极;Completed;In_Audit
26116046-70b9-4973-b24a-496e1f393bd5;hence vice;YEAR;没有 偏偏 oof;2024-06-24;that 劈 aha;雪白;Not_start;Not_Audited
4caaceb3-9f02-44d2-86f1-c7d1daa47ce0;unto;MONTH;whoever dresser whose;2024-06-24;跑 near;ruby;Completed;Approved
ecb84e63-ced8-4806-8e22-373dbab25770;热;YEAR;wherever 苦 earrings;2024-06-24;一味;than um;Completed;Not_Audited
09ebb382-7488-497e-ab6a-00d8a08153eb;gee 抱 oh;WEEK;by so;2024-06-24;血淋淋 year 百般;strip among;Not_start;Approved
affd0dba-6813-4ac6-b816-486fac6b0a2c;on 细 versus;WEEK;barring submitter 生动;2024-06-24;someone;极 yet;Start;Not_Audited
