id;planstarttime;planendtime;returnstime
62482350-ca18-4905-bdd2-1fb73c8987b7;2024-06-24;2024-06-24;2024-06-24
b47b1def-57f1-4ab3-96bf-998715268774;2024-06-25;2024-06-24;2024-06-24
579d3c0c-ef61-4a47-abb4-7605b1490e00;2024-06-24;2024-06-24;2024-06-24
2d2880a3-1ea9-4fc5-aa8d-54cb73f8e672;2024-06-24;2024-06-24;2024-06-24
52a7495b-13c3-4f61-8a0f-3510a6d23ebc;2024-06-25;2024-06-25;2024-06-24
1b59eb82-e2b6-469e-b6d1-0c4ad874fc66;2024-06-25;2024-06-24;2024-06-24
9bec3b3e-e1e8-498a-a15b-86b0dcee392a;2024-06-24;2024-06-24;2024-06-24
86282b77-dc71-45f6-b54a-7882a6a1042e;2024-06-24;2024-06-24;2024-06-24
a946ae73-7fb2-43ec-b398-d413e844459f;2024-06-24;2024-06-25;2024-06-24
8ee99473-b849-4544-85e5-2862bbb7e58f;2024-06-24;2024-06-24;2024-06-24
