id;wbsid;wbsname;parentwbsid;subjectid;subjectname;contractcode;contractname;jhi_year;auxiliaryitem;unit;jhi_number;unitprice;budgetamount;estimatedamount;remark
1;for 光;finally dusk;regarding fooey whoa;2153;pfft 惟独 sledge;worth phew;outlay reception supposing;21076;熟练 substance;ha 稍微 ew;huzzah 总共;12994.98;4504.46;16856.28;滑
2;er mixture milestone;pish 剪;inasmuch;14522;provided after;许多;滑;25785;摔 别 till;unlike vignette;抿 along rations;7787.49;9588.78;2001.94;that 平坦 幸亏
3;大方 可;硬 驾驶 热;多么 持;22574;gadzooks till 不;boohoo;as into;24518;反正 绿油油;细;猛然;881.91;14091.23;10675.88;since lest out
4;ugh;overhead vice;equality verification;25679;without plane;相当;黑不溜秋 比较;24123;opposite 移动;fundraising 吸 ack;truth;21660.82;10964.92;20911.7;mechanic
5;incidentally 做;ew huzzah inasmuch;鲁莽;13323;once 跳;times;concerning 拖;19979;workhorse er because;冷 after;吮;14471.7;5322.58;9953.13;under patentee forenenst
6;跑 concerning 抬;ceramic 摊 大约;gee 做 press;5524;for;aw although;hmph;14804;duh 掐 sightseeing;稍微 抓 整齐;cobbler 总共 一道;6684.01;9949.33;22335.88;anenst likewise
7;抛;but mmm flick;wasting;7544;pea 拆;care 攥;何尝 phooey;2248;beneath;beneath 平常;掘 画;31754.21;3320.66;6259.87;profile
8;destiny phooey 索性;apropos after;坏 hmph yowza;6133;within;gum 弹 abaft;underwriting;17958;scow;whereas finally;nor;3592.33;10675.63;27418.33;until off
9;meme wherever;however mmm 光;长 挥 yowza;847;until;ha boo 没;搔 slide hm;20693;好;甜 持 duh;披 软;22957.81;25270.39;11586.07;whether how
10;掷 一概;骨碌碌;flytrap drat;13834;about;ratio 黑不溜秋 care;统统 特地 小;24032;yuck tambour;一同 times 倒;嚼 team;25555.47;23533.79;2480.84;minus 快 plus
