id;projectname;clientname;plandate;secretlevel;audit_status
fbe9409b-271a-4f3c-972b-c3fcb2dc26b4;uh-huh excepting;likewise;2024-06-24;PUBLIC;In_Audit
ec697f0e-b9dd-4273-84ce-59c81348bad9;也许;psst;2024-06-24;PUBLIC;In_Audit
1373ebf8-48f7-447d-a2e3-2f484423961b;yet 拨 yuck;好 though;2024-06-24;NOSECTET_INTERNAL;Not_Audited
39e564a2-05b6-42be-97c5-20c722ac4135;倒 勇敢;provision 短 times;2024-06-24;PUBLIC;In_Audit
a24404fb-c139-4631-b5c3-ac175f58a96a;qua 甜 ha;按 轻松 骨碌碌;2024-06-25;PUBLIC;Not_Audited
49cfa922-211f-410a-ad6c-62a530867a7c;热;questioner beyond;2024-06-24;SECRET;Approved
57dc833d-1ef0-4030-9f4c-f3bd76a664d9;indeed 咬;after what 撞;2024-06-24;NOSECTET_INTERNAL;Approved
bd6e21ec-68a4-4f3b-8bf5-7be8645cd6ef;相当;off if 敲;2024-06-25;SECRET;In_Audit
a8b40d7f-c423-4afd-82f0-e37290c1ae5a;掐;alteration 擦;2024-06-24;PUBLIC;Not_Audited
59e6fc27-4651-4a22-8a51-cecdb274ac27;逐渐 jeans hence;the 倒 必定;2024-06-24;PUBLIC;Approved
