id;jhi_year;name;riskcontent;identificationtime;riskreason;importantrange;measuresandtimelimit;conditions;closedloopindicator
1;33;suffocation;now gah;2024-07-30;大方 稍微 ack;比较 大;鲁莽 under;spark meanwhile 仍然;弹 捏 consequently
2;25852;多亏 so 仅仅;雪白 咬;2024-07-29;按 wherever birch;which blah;可 bah;pro;幸亏
3;28094;整齐 yahoo;per 全部;2024-07-30;upon;since because;as;base;特地 gee bah
4;19486;bah;十分;2024-07-29;揍 好 走;何尝 fooey;一道 than er;拧 fooey skywalk;拿 hmph 敢情
5;26553;全;hmph;2024-07-29;eek;拉;拔 behind;ballot;绿 甜
6;18199;finally behind;worth;2024-07-29;vol;before numismatist;before 捡;尽;舞 吃 跑
7;11472;oof;逐步;2024-07-30;about hm oof;咀 what;撕;ick;now 偏偏
8;20344;whereas 摔;olive pelican;2024-07-30;fav till 小;掷;versus um hm;拍 撬 咬;sphynx
9;2376;waterwheel for huzzah;meanwhile 毅然;2024-07-30;worth toward;许多;雪白 while;一起;whose
10;12717;drat medicine 粗;托 who 弹;2024-07-29;of tradition 一概;mantle gah;since;雪白 however;versus round 稍微
