id;wbsname;parentwbsid;pbsid;description;belongfront;starttime;endtime;progress;jhi_type;priorty;secretlevel;deliverables;status;audit_status;workbag
a6cbffae-c423-4355-8194-72b880d43db4;absent;全;luncheonette;可 amongst like;血淋淋 小 beard;2024-08-08;2024-08-08;32756;18302;28063;PUBLIC;pfft 挥;CANCELED;In_Audit;20711
653ed9fb-1bff-4544-90a9-be27b1544640;anenst;大约;airfield hence;最 绿;round sorghum 坐;2024-08-08;2024-08-07;482;3228;30651;NOSECTET_INTERNAL;极其;CANCELED;In_Audit;28659
72df7fc8-f775-4eba-a0c1-9fc4c3062185;on an;cape;but 逐步 gadzooks;because 熟练;搜 graffiti 勇敢;2024-08-07;2024-08-07;21461;17383;9533;NOSECTET_INTERNAL;绿油油;NOTSTART;Not_Audited;18656
6ac8c5ec-2c9e-4ade-bde8-0b01084532bf;aw 整齐 渐渐;托 aw;平坦 拔 吃;provided;apud inside 全;2024-08-07;2024-08-07;1320;15087;20962;NOSECTET_INTERNAL;why 抓 何尝;NOTSTART;Approved;26846
7e590cb9-a8f3-4adc-ab4b-82733c410aa2;drat mustard midst;特地 多 大约;熟练 擒;按;喝;2024-08-07;2024-08-07;46;16788;4473;SECRET;仿佛 撕 phew;IN_PROGRESS;Not_Audited;11431
fa75d807-dcf7-4136-b633-be069ac87a58;amid 搔 更加;till zowie;likewise underneath;leprosy ugh;even 整;2024-08-07;2024-08-07;15943;32170;4790;PUBLIC;大方;EXPIRED;Not_Audited;15353
62b5b4c3-63ef-457c-9707-67b27b56c6c4;plus who underneath;coupon 披;flair;擦;plus ceremony;2024-08-08;2024-08-07;6727;30862;15432;NOSECTET_INTERNAL;短 yahoo 也许;CANCELED;In_Audit;27626
a87d388c-ad08-4d94-84a9-754c458ac6a4;smith 黑不溜秋;wherever phooey shoemaker;perch;坚固;reporting 冷 都;2024-08-07;2024-08-08;6746;6646;19633;PUBLIC;冷;CANCELED;In_Audit;28465
6009382b-d9a1-4b95-b43c-2527ba428898;yahoo from;yowza;after because psst;copying instead 按;热 past phooey;2024-08-07;2024-08-07;8847;31683;11607;PUBLIC;overshoot except;EXPIRED;Approved;27528
77f2f26c-04ab-4b7c-b4b8-6c5cd29615d4;绿 倒 雪白;也许 woot;掘 why 生动;behind;也许 celsius;2024-08-08;2024-08-07;13990;2070;25869;SECRET;gadzooks 太;IN_PROGRESS;In_Audit;7950
