id;projectname;formid;starttime;endtime;secretlevel;requestdeportment;chargetype;chargecontent
1;phooey flow fob;gah;2024-06-24;2024-06-24;SECRET;也许 吞;29753;简直
2;ew 老实;yowza 优秀;2024-06-24;2024-06-24;NOSECTET_INTERNAL;before midst;12120;gadzooks
3;血淋淋;down pish;2024-06-25;2024-06-24;PUBLIC;about 仅;11601;watercress electricity because
4;索性;净 几乎;2024-06-25;2024-06-24;PUBLIC;instead;2100;当然 armpit
5;雪白 now per;phooey 聪明 反正;2024-06-24;2024-06-24;SECRET;incidentally;31770;仅仅
6;pish;hydrolyse;2024-06-24;2024-06-24;NOSECTET_INTERNAL;now over;30122;out 就
7;比较 kitty;psst;2024-06-24;2024-06-24;PUBLIC;优秀 although cloudburst;17217;滑 pathology
8;擒 绿油油;驾驶;2024-06-24;2024-06-24;PUBLIC;music 甜;25596;劈 device
9;provided within outback;aid child;2024-06-24;2024-06-24;SECRET;round;31931;gesture 开 搀
10;绿油油 before 摔;长 as or;2024-06-24;2024-06-24;NOSECTET_INTERNAL;仿佛;17785;which 一同
