id;pbsname;parentpbsid;secretlevel;starttime;endtime;productlevel;iskey;isimportant;description;progress;jhi_type;priorty;wbsid;status;audit_status
00892571-235a-4851-a049-3764a618eaeb;that 勇敢 坏;许多 fooey 扔;CONFIDENTIAL;2024-07-16;2024-07-16;whoa 摔 一齐;10211;30429;很 anenst;21759;20127;3767;before;EXPIRED;IN_AUDIT
413e1c60-f6fd-40b1-bac9-a4e204ad8467;硬 palm;百般 一道 弹;INTERNAL;2024-07-15;2024-07-15;supermarket whereas;16435;7534;apud 摸 只;17846;21103;44;igloo 渐渐;EXPIRED;APPROVED
5b9f6958-9fe4-46cd-93b2-54e5b0acc2c4;毅然 eek 一定;week;SECRET;2024-07-16;2024-07-15;逐步 敢情;11315;3884;lest;13732;2031;9087;aw zowie;NOTSTART;APPROVED
4be9c8be-70e2-41ca-97aa-8b2664f95afd;老实 劈 zen;near;PUBLIC;2024-07-15;2024-07-16;without;13989;26933;till off 共;9821;17849;31051;红 全 冷;COMPLETED;APPROVED
2ffc709e-20d3-41fa-b087-fe7dc1db71cd;arrow 拍 whether;全部;INTERNAL;2024-07-16;2024-07-16;gate;8507;28513;pfft;5341;18415;25958;per skirt;EXPIRED;APPROVED
2d4f5bea-79e5-4deb-852f-0d6a39be70d8;干脆;ah because;INTERNAL;2024-07-15;2024-07-15;until;11096;7231;down;19012;25422;30819;简直 甜;CANCELED;APPROVED
2d901a1b-5100-4140-9e07-b1360cbc0854;stimulation like;pinstripe directory;PUBLIC;2024-07-15;2024-07-15;boo 渐渐;25529;21602;chino 总共;26123;21388;29365;更加 vice 百般;NOTSTART;APPROVED
3795a970-43ba-452e-884b-d82d09499659;擅自 难道;啃 热 oh;CONFIDENTIAL;2024-07-16;2024-07-15;揍 yowza even;3161;17311;whoa sans brr;25736;5453;12487;坏 afore;EXPIRED;APPROVED
141b239c-549c-48af-8b40-c73c0e474f4f;er top whereas;where;INTERNAL;2024-07-16;2024-07-15;快 even;8321;32432;少 haircut within;28958;11203;27984;basis hut 轻松;COMPLETED;IN_AUDIT
98bfdddd-f912-4209-b8d1-0d78e1dd1906;supposing;for;PUBLIC;2024-07-16;2024-07-16;一道;10052;14339;光 zowie;1198;14591;13291;按 单 unto;CANCELED;APPROVED
