id;remit;outdeportment;indeportment;projectname;deportment;projectleader;secretlevel;audit_status
491d6379-6f4a-4fcd-b659-e26a9788a51d;uh-huh 啃;全 er;dip;furthermore 马虎 仅;扶 ouch;弹 pace 画;SECRET;Not_Audited
eee9dc91-168d-44e1-a28b-f9214af75e4b;greenhouse 一概;near;撑 生动;yuck 拎 up;大 许多 afore;cicada;PUBLIC;Not_Audited
cee3539c-7ff7-4a82-9822-5757c84236b3;fooey uh-huh;多么;统统;hemisphere whereas;好;towards lest 咀;NOSECTET_INTERNAL;Not_Audited
a6a53053-171c-4477-b510-d53d1fc25019;wrapper;mid if unless;撬;捏 捏 飞;甜 揍 倒;gadzooks gah 勇敢;PUBLIC;Not_Audited
12381987-c5c7-4acf-8629-153048f8f14b;吃;稍微 until 就;unlike shout;including ack 索性;啃 吸 长;扔 剪 jaguar;SECRET;Not_Audited
74eac775-ae19-41ed-8a01-734fafe90cb8;because;inside;聪明 mercury;更加 geez;摔;alder salad beneath;NOSECTET_INTERNAL;Not_Audited
d940453e-3db3-4440-91d8-c2b7a07117f2;冷 supposing;慢;插 hare 搂;calcification;meh 滑 平坦;仍然 打;PUBLIC;In_Audit
e41a402b-1378-4ead-b48d-8dca21622c21;mitten;长;ugh although;into;sheet 互相;揽;SECRET;In_Audit
2ef5a8a9-5ed6-4c41-b081-779b45d9da04;next despite 细;一齐;马虎;interaction pish;全 好;启动;NOSECTET_INTERNAL;Approved
cb0e5689-cd3a-4897-a748-b693639e910c;guinea;披;ew;grandmom until;towards if aw;absent;PUBLIC;Not_Audited
