id;wbsname;parentwbsid;description;belongfrontline;starttime;endtime;progress;jhi_type;priorty;secretlevel;deliverables;status;audit_status;workbagid
0874a670-a6c4-4629-9843-065f8986667d;labour 绿 坚固;likewise;gadzooks;很 out;2024-07-16;2024-07-16;6648;11155;16958;SECRET;although 全 since;CANCELED;IN_AUDIT;极其 along
008738be-9969-4420-b315-6dc6104529e2;抛;却 oh;pfft 一概;老实 geez 百般;2024-07-15;2024-07-15;27808;27247;29327;PUBLIC;一道 偏偏 好在;CANCELED;APPROVED;yuck
2538d560-e729-4cec-802e-7c79988975c9;伟大 坏;geez;barbeque instead;footnote 捶;2024-07-16;2024-07-15;1816;3043;4943;CONFIDENTIAL;百般 一齐 between;EXPIRED;IN_AUDIT;round
fee88b07-80a7-4786-9f25-df7242013bf6;整;junk 一共;当然 though;below;2024-07-15;2024-07-16;12808;10710;28039;CONFIDENTIAL;比较 wherever 没有;COMPLETED;APPROVED;finally
335b6494-3a72-4723-952b-5e830245c6aa;referendum 统统;一共 咬;ouch duh;scarecrow 吸 勇敢;2024-07-15;2024-07-15;16861;16085;30624;PUBLIC;whether;IN_PROGRESS;IN_AUDIT;yuck inquiry
15a8c445-0e41-4a7c-859b-60547a205980;now 拖;trinket;provided 笔直;off;2024-07-16;2024-07-16;11863;7425;15153;CONFIDENTIAL;拧 where wherever;COMPLETED;NOT_AUDITED;versus
7530350e-12c9-4f01-a983-2cf245eff85c;滑;without 咀;lest of;map;2024-07-16;2024-07-16;19522;19211;21072;INTERNAL;gah;IN_PROGRESS;APPROVED;thunderbolt yuck ounce
0ff1a201-d864-4f92-9fe2-a78ea5f70cdd;撞 开 驾驶;mmm architecture;熟练;伟大;2024-07-16;2024-07-16;30504;26316;17878;INTERNAL;大约;NOTSTART;IN_AUDIT;near 共 举
2738b7af-7228-4ab2-8c01-ea74980ed8e6;拎;聪明 opposite;搡 failing;挡 whether;2024-07-16;2024-07-16;30912;16931;28750;SECRET;circa 骨碌碌;NOTSTART;IN_AUDIT;incidentally aha
922f06f2-6718-4f9d-81b7-771aa2795bf7;nor;hmph boohoo;切 raisin;or yet after;2024-07-15;2024-07-16;12874;16487;29691;SECRET;till apropos;NOTSTART;APPROVED;敲 启动 很
