id;name;objectiveslevel;objectives;objectivesvalue;calculationmethod;frequency;takeaction;needresource;status
1;全部;miter geez;indeed livestock pfft;and 擦 whether;果然 开 快;whoa;um 勇敢;飞 惟独 飞;down regarding
2;轻松 ick whoa;drat 关闭;一概 擅自;mid;duh until;why;huzzah;via 伟大 熟练;absent to
3;共 熟练;苦 aw indeed;next;since gosh appeal;unlike;攥 少;aha 攥 what;血淋淋 格外 but;hence girl 没
4;duh ack;barring;雪白 平常;全部 but meh;生动 一同;midst;几乎;boohoo 拆;afore 跑
5;敢情;provided um;难道 equivalent;总共;yum luxury;yum;骨碌碌 yippee nor;粗 bass ozone;that ouch 红
6;stole;alongside;as hm;摔 absent brr;above magazine since;inasmuch 大方 clamp;移动;攥;逐步
7;amongst 光;稍微 since;拔;wallet within;circa 拍 furthermore;更 少;yuck;渐渐 next modulo;挥 toy
8;清楚 搔 拎;bah mid;ah 平常;bidder;psst 黑不溜秋;that;勇敢 yowza;onto aside ack;全
9;since while 相当;一同 incidentally 擦;before mussel 嚼;hundred;吞 whether;supposing if;多;ecclesia 揽;besides 熟练
10;必然 吮;gosh;绿油油;可 拆;velvet doorbell;supposing 硬 after;大约;throughout 逐步;仅
