id;name;qualitytype;secretlevel;wbsid;workbagid;fileversion;author;attachment
7f88183b-dcc7-42d9-a72d-647d62ca02af;转动;CYCLE;SECRET;扔 小 liquor;当然;whereas gah 吸;blah;bench
4477653d-6b37-4b5f-b2c3-1d1045c6cc00;psst 搂;CYCLE;PUBLIC;malnutrition where for;coverall 轻松;大;explorer beyond;whenever consequently outside
e13966fa-5315-43a9-9441-f4c9fc7000e9;since 统统;CYCLE;INTERNAL;oh vermicelli;熟练;跑;diversity;or conformation 嚼
0a36fabb-6512-4af4-83be-dd09bc7975b8;before 格外;YEAR;INTERNAL;drat before;更加 lest;冷 咀;however blush;despite 软
4c3558ed-a13a-48bb-84e1-e5b2360ce7da;极 勇敢;YEAR;INTERNAL;barring anatomy;lest 弹 isogloss;撬 稍微;驾驶 揽;whoever
6b4e77c1-67b3-4fed-b7ee-bb455f9bec79;midnight phew;CYCLE;PUBLIC;拆;geez;stair;under melon;打
8cc98d05-6bcd-4488-b0ae-cf8a7e946a80;astride amid;YEAR;CONFIDENTIAL;failing 敢情 incidentally;骨碌碌;after;besides;老实 骨碌碌 lox
67106c22-f3bf-4351-a826-52e2ce59e5bb;which;YEAR;INTERNAL;插 consulate;依然 throughout;搀 没有 wherever;hmph 毅然;whoa
788431e3-4a0b-430a-b4c0-f0ee12108fe2;十分;YEAR;CONFIDENTIAL;格外 unless 红;嚼 勇敢;剪 搀;ouch whether 抛;敢情
bfee33c0-2b8c-4e62-ae84-863056de7e31;坏 抿;CYCLE;PUBLIC;round;冷 摊 拨;hmph minus;mmm;仅
