id;qualityobjectivesname;jhi_year;createtime;creatorname;secretlevel;audit_status
ada92171-b5ca-45f3-910f-9aec540ba3e6;统统 gosh;19090;2024-06-24;ick;NOSECTET_INTERNAL;In_Audit
e8e19954-6009-4101-916c-0705b689d092;捣 health 相当;2374;2024-06-24;boo;PUBLIC;Not_Audited
23ed7f8f-35d0-4f68-9874-0ba41646ce85;短;12270;2024-06-25;however;SECRET;Not_Audited
2f96a057-2393-43eb-b7e4-34c98321dd24;坚固 lest 击;2438;2024-06-25;抄 eek;NOSECTET_INTERNAL;In_Audit
73df2a30-4464-4824-8883-29421e34c71a;差点儿 versus 互相;6761;2024-06-24;until;NOSECTET_INTERNAL;Not_Audited
900b3bb0-a690-4937-9cb0-5ad70c552d35;摇 ew octavo;362;2024-06-24;吞 whoa 雪白;SECRET;Not_Audited
fb3fb72c-871e-4e71-bd95-07e8e8f01dbb;pish considering;9499;2024-06-24;索性;NOSECTET_INTERNAL;In_Audit
ff527ece-0489-4b66-8fb2-f86949123974;around meh 整齐;28056;2024-06-24;efficacy 多么 大方;NOSECTET_INTERNAL;Approved
92d17eb3-5336-4f49-9318-6c4ae6ebd2ba;excluding;28744;2024-06-24;since including;PUBLIC;Approved
dfa81d8b-422d-4e69-b928-032040f3d0ce;aha wrench down;30569;2024-06-24;huzzah 细;NOSECTET_INTERNAL;In_Audit
