id;qualityreturnsname;starttime;endtime;qualitytype;returnstime;returnsstatus
951c5020-cdb7-461c-907c-b49627d9abf7;yahoo;2024-06-24;2024-06-24;15463;2024-06-24;Not_Comlated
64626134-9bc5-405a-af89-4c1bb104d026;猛然 scrutiny evaporation;2024-06-24;2024-06-24;21948;2024-06-24;Completed
c0fa49d9-1876-48a0-ac7f-323d940c2386;yuck whereas;2024-06-24;2024-06-24;15525;2024-06-24;Completed
cb960263-7ebd-4e76-b017-649f7a9b2876;多么;2024-06-24;2024-06-24;31367;2024-06-25;Not_Comlated
4f24a51a-fc20-4a98-bd38-0c4a8ae896c6;anenst;2024-06-24;2024-06-24;1430;2024-06-24;Completed
626288db-df6b-49b2-bc87-09d9b5521e47;campanile finally 少;2024-06-24;2024-06-24;19696;2024-06-24;Completed
fc64a1fd-85c9-4aff-b2f9-5bda7ee01ca1;hippodrome 抿;2024-06-24;2024-06-24;16989;2024-06-25;Completed
ca5f98b5-d674-4a77-906f-b336ebcc69a2;concerning 骨碌碌 indeed;2024-06-25;2024-06-24;14242;2024-06-24;Not_Comlated
7b17c597-de91-49ef-b3d3-45e5c39778f8;aw 偏偏;2024-06-24;2024-06-24;21963;2024-06-24;Completed
5e32eafd-7d25-4155-ad86-15c24b1addc4;最 好些;2024-06-24;2024-06-25;22004;2024-06-24;Not_Comlated
