id;wbsspare_1;wbsspare_2;wbsspare_3;wbsspare_4;wbsspare_5
c6e7d728-f634-4678-bde3-217ae4c446c9;红;till 血淋淋;brr;擒 做;after 略微
d54073da-716c-4aec-b7df-bb3a60b18f6b;athwart 操作;over;统统 meanwhile 极其;which;mid 绿油油
ea957b0d-bbbd-4679-8052-3f294789a043;挖 so sleeping;弹 mid;aside geology;全;but geez drat
dbc0c7f9-e9d2-4afb-bfff-c927da798bed;gah 整;仍然 差点儿;抿 拧 guinea;惟独 热;全 咬 全
f7c0aea9-2915-49c5-9865-b5f7153c0f0c;when to 嚼;格外 清楚 抿;总共;psst past;even
9bd15401-efa8-4130-85ae-7c1701f418b0;obligation as;yowza 捉 whenever;共 扭 hmph;好些 once;fooey
9496ec7b-7c50-42e0-867a-8fdaa94b7962;清楚 坏 差点儿;ah;优秀 ew rethinking;consequently 抓 全;furthermore duh
52818732-153b-4434-bc9d-c8356005ed07;after 拧 yuck;modulo after;however 格外 启动;whenever 多亏;仅仅 摇
94078670-ff64-4ed8-98d4-2c373f3ffe3c;都 desktop 笔直;before via qua;brush;索性 优秀 phooey;极其 washtub warrior
7c8eb899-f68d-4a0f-a86b-a5da4c6a0811;却;modulo ick beyond;一味;只 挡 bah;whoa 特地 简直
