id;jhi_type;jhi_year;riskreportname;reporttime;audit_status
1;绿油油 geez;890;生动;2024-07-30;APPROVED
2;from;6640;shot 挡 熟练;2024-07-29;IN_AUDIT
3;tan oh;24292;猛然 parcel 挡;2024-07-29;IN_AUDIT
4;骨碌碌 derivation but;15018;抛 推 好些;2024-07-30;IN_AUDIT
5;fooey 都;30488;吮 慢;2024-07-30;NOT_AUDITED
6;without eyeliner 幸亏;1362;after postfix example;2024-07-30;IN_AUDIT
7;dispatch hmph;20203;捧 mid 撬;2024-07-30;NOT_AUDITED
8;station-wagon 当然;17126;攥 that;2024-07-30;IN_AUDIT
9;boohoo;29724;unless pish before;2024-07-30;NOT_AUDITED
10;好 少 brr;32459;多 er 开;2024-07-30;IN_AUDIT
