id;projectname;jhi_year;nodename;risktype;decumentid;version;usetime;systemlevel;risklevel;limitationtime;closetype
36b4eefc-aaa6-4c1c-837d-9b7e0598b745;挡 feather 优秀;1284;psst;24250;14311;526;2024-06-24;1853;Six;per;29289
729606d5-35f2-4fe3-a0bb-a79da1feb1f5;uh-huh while;29877;plate;10640;8399;29647;2024-06-24;20285;Four;全部 dickey;15477
3e9c79ff-f6cc-4455-acb3-0cef46ecd273;笔直 可 摘;30329;mmm 坏 toward;29075;28389;30779;2024-06-24;9991;Four;整 aboard ouch;23710
106dc637-36ea-4bfb-ab67-f01c04cb2478;画;16955;搜 forenenst;28597;3372;4381;2024-06-24;30552;One;相当 concerning;28779
7b5950f1-229d-464d-a4ac-4469cf9e5baa;相当 until 劈;9616;扶 捉 program;13536;26534;17529;2024-06-24;27161;Two;yahoo;3549
cdeaebf6-1a71-4e77-a73e-246a43e662b4;热 or when;21397;净 硬 吮;29670;28451;17478;2024-06-24;7868;Four;meanwhile instead;5298
2f1b39a5-2136-4fc7-a3e6-d434f8d6e651;写 absent;12768;共;4904;18552;28847;2024-06-24;14647;Three;duel 生动 撒;22858
7c832241-6026-43b5-a815-0defa8ea88bc;ha gadzooks;9188;ew 一味 多亏;12230;29930;27292;2024-06-24;15948;Six;why 多;21190
16d43375-8312-40be-ba81-88a583df95eb;推 threat;32716;fuel;17918;4858;2941;2024-06-24;32431;Six;behind;23323
6267b073-3107-4984-b3c4-512bcc073933;举 and and;7897;gah plus 索性;3661;19538;3077;2024-06-24;9749;One;惟独 whether in;31415
