id;jhi_type;riskreportname;releasetime;audit_status
cedd6464-7eb2-4e0c-a9c8-20bb20923590;proposition;坐 热;2024-06-24;Approved
64eec5bb-a11c-4eed-83aa-139b94bd7b8a;anise 许多 舞;冷 bah anesthesiology;2024-06-24;Not_Audited
07dd65f3-eac6-4323-b564-fe19c9b97a6d;since yahoo 稍微;握;2024-06-24;Approved
c23235a6-a0dd-4b8d-a6a9-a950b5e6bc3e;擒 拿;拖 大方;2024-06-24;In_Audit
6418edf9-c95f-4803-80cf-5d31a391deea;抱 furthermore;whoever singer;2024-06-24;Approved
8a804a84-b40a-4f6b-a255-4975734efbb2;keystone 咀 幸亏;托 长 互相;2024-06-24;Not_Audited
b5730157-df0b-429f-be39-f22cae4a0eb1;when grief aw;pish anesthesiologist 多;2024-06-24;Approved
d3be7150-5e58-4b49-b022-b08a7c6e5c17;ugh psst once;unlike conformation 血淋淋;2024-06-24;In_Audit
dbb3463a-a8b7-475a-8c97-ee2853c675a9;吸 揍;uh-huh encirclement;2024-06-24;Approved
f856b03e-03f6-42d3-8c91-48496a81739d;扔 amongst;frenzy drink;2024-06-24;In_Audit
