id;wbsspare_1;wbsspare_2;wbsspare_3;wbsspare_4;wbsspare_5
c930d90a-0dfa-49f8-86d4-394e8ca9f376;一定 cello as;敲 雪白;underneath amidst 好在;甜 许多 略微;incidentally 几乎
0b2e472c-2c30-4add-b4a2-bfb652c7a00a;opposite;平常 吞;多;since 甜;alibi gravity
e016ce35-e3bd-49e2-8995-263c5e0492da;like;红 逐步;幸亏;反正;吸 pub
779ed55d-2ad3-4b98-9330-6b0c3c831a3d;抿;up boohoo 一味;for 十分 搂;没;even
83548a2e-5c0a-499d-b902-408ddb58bdd8;红 atop even;笔直 while 惟独;drill;furthermore;while
60469b88-088c-46f4-923f-52b774e14c47;management;instead;phew though;underneath;apprehension
721ffecc-e792-480d-b2d0-b42ebb3792a5;wherever across;regarding naturalisation ouch;phooey;athwart 聪明 慢;paperwork pony pish
e50c63e7-70b6-4aa0-a982-737d34a5c0c9;debris;pace 披 hence;like apropos 播;捡 跳 捏;很 生动
758fd323-200e-4c29-a95e-193e8f9254d0;charter romance;尽;gosh;circa;round
b54cad77-77c9-4535-85a8-75243083376d;whoa;gee mortise;woot 一概 but;勇敢;吐 拖
