id;wbsspare_1;wbsspare_2;wbsspare_3;wbsspare_4;wbsspare_5
7965cd56-53fa-454f-9a4b-acaa5f4949b7;热 ugh;难道 偏偏 差点儿;只 大约;拍 最 chili;硬 跳 细
2c933356-0e48-4b44-b959-106992f70dd8;逐步;because if round;without;as peanut;smelting
309e2842-b6b9-40ea-81bb-ce0ec9b83eb2;yum pace 大;cranberry 揍 毅然;till;坏 大约;老实 achievement
38f4756b-81c8-4d5f-a548-fc02ff942fb1;reclamation;in 一概 er;when;boo 硬 amongst;while yuck
998898d9-48fe-4220-bbd4-97614ec1948e;after;当然 吮;大方 大方;轻松 ack;托
f7e19919-f03b-40a2-9ff4-f9088d11de96;whenever 坚固 even;since;to 马虎;trapdoor;inasmuch aboard
e51ac8ed-dd5f-4e83-8a52-a1ae2221ff22;ah inside after;骨碌碌 bah;很 till;though retina till;简直
9c54230a-8d53-4b37-8eb5-796384cc9e47;athwart why;相当;so instead 光;cow monger;gosh 马虎
316066f7-99a6-4fcf-9188-6afdcfc554bb;oh;modulo;chainstay 提 拨;lest;rating astronomy
c70d0bee-87c7-47a0-876f-891ac1fe705b;更加 inasmuch below;lest;supposing lest 聪明;whereas when 启动;quality whose 全
