id;planpaymentnode;planpaymentamount;actualpaymentamount;paymenttype;financialvoucherid
1;多 雪白;22298.31;10209.72;ACCOUNTING;as who
2;nose duh;22657.22;5482.76;BORROWING;一味 净 fooey
3;underneath 搔;26218.31;5975.13;BORROWING;the 没有 转动
4;搔;22108.33;22704.58;ACCOUNTING;搂 甜
5;索性 硬 净;14520.09;10366.8;ACCOUNTING;than 抄
6;fawn;8394.3;27378.21;BORROWING;百般
7;aboard once;8797.31;26745.81;ACCOUNTING;滑 toilet
8;倒;9790.9;10685.46;ACCOUNTING;whose outside 倒
9;揽;9017.8;16233.17;ACCOUNTING;the among er
10;仿佛 搂 播;31737.42;21494.59;BORROWING;um gosh session
