id;planpaymentnode;planpaymentamount;actualpaymentamount;paymenttype;financialvoucherid
1;inasmuch toward;17016.54;28817.52;ACCOUNTING;拍 than near
2;细;16560.68;15891.71;BORROWING;julienne 握
3;伟大 一起;372.48;17841.9;BORROWING;so
4;but furthermore;9607.61;4825.35;BORROWING;别 uh-huh 特地
5;更 咀 million;6465.54;1705.91;ACCOUNTING;apropos uh-huh chain
6;甜;15532.46;19267.86;BORROWING;atop
7;yet next;4874.81;25442.91;BORROWING;duh notwithstanding
8;聪明 afore 索性;13117.5;30849.02;ACCOUNTING;psst minus
9;around before barring;18147.61;300.4;ACCOUNTING;全部
10;finally;23898.6;13755.35;ACCOUNTING;against brr yuck
