id;contractcode;subjectid;subjectname;budgetamount;estimatedamount;percentage
1;ugh for;28332;切;11277.75;3075.19;16605.54
2;psst 扶;13682;zowie ah;19042.34;31143.26;12813.39
3;minus round 整;4121;擒;19439.26;19016.09;22158.66
4;beneath instead;9678;拧 astride after;25106.27;7767.59;29053
5;软;4719;ack;8656.21;29569.65;9511.16
6;enterprise hull;24323;furthermore;20232.56;13744.7;2528.73
7;干脆 果然 偏偏;25298;as till 蠕动;8627.17;16466.45;2620.05
8;against;17174;after;3918.6;10771.63;14311.2
9;坏 unless;20185;blush behind for;8242.92;25877.82;10779.55
10;per furthermore;8818;below 红 likewise;3555.45;22286.19;3111.54
