id;valuationsubjects;budget;percentage;remarks
b6d63b70-a6a7-46bc-8cef-706516286ee0;十分 farmland astride;31465.92;6349.08;emotion
c62f72e4-b27f-42fe-bf9c-41b23bf979a1;ew 软 who;17335.21;25964.2;bah
6dccf244-2900-4211-a5c5-0e8f4a204530;between however bah;16480.71;4204.73;甜 擦
0d666ce0-3199-4023-84df-3f6134021222;unless;11675.91;1781.19;没有 长
9243533b-26d4-4fc7-8b97-eff1187ed0ae;老实;19471.16;15592.87;before pro fooey
b7c8b0a2-ac9b-4749-b707-17052ec7fe57;血淋淋 画;8275.3;18033.15;boo
bb0b8521-8ddf-4357-8574-2238b916215b;必定;25693.84;10320.46;waiter
c807c20a-ad2f-47bf-a521-ad76e6c08421;till;8083.86;17010.91;仍然
7d3a9d06-ee10-493b-b358-45b7dba4af7b;by sequence 挖;11724.1;18944.93;少 揽 detainment
d5eaf69d-143f-4d55-98a4-009cb1193803;摊 多么;16778.43;31470.59;骨碌碌 stick throughout
