id;planpaymentnode;planpaymentamount;actualpaymentamount;paymenttype;financialvoucherid
1;仿佛;21500.14;2008.61;BORROWING;反正 简直 forenenst
2;doorbell 单 甜;2568.35;19364.14;BORROWING;打
3;membership;4988.04;3800.65;ACCOUNTING;却 揽
4;猛然 太;19616.04;28207.48;ACCOUNTING;敢情 which like
5;软 仍然 扭;20350.6;22128.38;BORROWING;仿佛 拍 ha
6;ew 拧;31097.12;4686.85;BORROWING;坏 全
7;搔 硬;17020.73;23359.64;ACCOUNTING;yang
8;必定;16087.31;20007.15;ACCOUNTING;摸 依然 yahoo
9;笔直 excepting;6639;1921.6;ACCOUNTING;绿油油 however
10;总共;16843.91;17366.98;ACCOUNTING;bronco 慢
