id;workbagid;belongwbsid;outsourcingcontractid;unqualityid;unqualityname;unqualityunit;unqualitytrialgroup;inspector;unqualitystage;unqualitynumber;unqualityintroduction;unqualitycategory;handlingopinion;applicant;applicationdate;audit_status;attachment;disposalmethod;causeanalysis;correctivemeasures;remarks
1;except blah;细 软 可;supposing;audience 大方 until;整齐 once;wrapping irony;and whoever the;吞;besides 稍微 now;3139;依然;furthermore aw;捶 boom 绿油油;敢情 共 governor;倒;APPROVED;when 做 efficiency;特地 of oof;更;特地 hurry inside;倒 倒
2;whoever;捉 hm as;yippee blah;好在;bah 净;平坦;毅然;huzzah wherever;whose whoever;2647;since 鲁莽 pish;揽 整齐 舞;zowie ick;粗 meh;最 切;APPROVED;unlike 少;掷 beyond;since;何尝 supposing;持 woolens with
3;拉;也许;by 全;till;软;warden ha;可 acquisition;elderberry;果然 aw 猛然;22972;hire;once including;共 熟练;whenever 大 amid;驾驶;APPROVED;开 but;抛;job 拧 一味;eek 绿油油 整;radio
4;拣 飞 马虎;about 优秀 没有;whenever 稍微 统统;hmph 更加;modem ha 极其;一味 likewise whoever;pish 不 一同;below 几乎 step-brother;publisher psst 依然;21930;bah for;擒;given ha;简直;which meh;APPROVED;whether;多么;boo;热 fingernail 弹;扔 however
5;hmph 拿;once;duh or;um;bah 操作 aha;likewise meanwhile near;少;task 极其;into;12673;简直 oh 平常;modulo;老实;马虎 maiden machine;next;NOT_AUDITED;小 except;pish;trillion fog;aha;candidate query 多
6;hmph 总共;when;phew waterskiing;喝 indeed;unless zowie unity;捶;representation that beneath;相当 for ah;hm pish;16087;何尝;over 大;好在;拣 ray 极;mmm;IN_AUDIT;全 burning;where 可;一概 plasterboard;清楚 十分 once;whoa headline
7;worship 拖;骨碌碌 um;掐 reject;throughout 轻松 subexpression;捣;笔直;brr;emergence beyond;一道;18826;扶 wherever;under;果然 why;worth;ick 坐;APPROVED;一概 捡;画 简直;捣 outside whether;above;聪明 惟独
8;轻松 冷;yuck barn;toy;shoe though shelf;倒 平常 粗;until 爬 极其;outside 总共 笔直;the 依然 following;or feeding 反正;12991;while of 许多;paranoia;捶 尽;击;啃 hm 摇;APPROVED;mmm nor;舞;floozie;under 短;amidst
9;beside;难道 hm yet;走 how phew;site drat;仍然 uh-huh;ape;许多 吞 phew;barring beside revascularisation;paw er worth;14993;格外;跑 只 短;gravity;ouch while;whether umbrella;NOT_AUDITED;geez maker fooey;beyond hero whose;相当 finally;in;更加
10;也许;harvester 优秀 硬;whereas although as;outlet;amongst trousers 捉;爬;伟大;festival ugh;绿;30163;who;操作;than sickness;绿;while 劈 坐;NOT_AUDITED;坏 lest;empire;开 仿佛 互相;长;小 tan
