id;subprojectname;unitbudgername;billingunit;jhi_number;totalbudget;maintainerbudget;outsourcingbudget;earmarkedbudget;testbudget
3bb9f8e8-6e7e-4b12-b773-6a1d462f2d68;扭 jogging;if woot brr;26859;32166.23;28334.21;7479.87;25294.33;10829.07;3116.46
f4ed56b7-d771-40d9-975c-371e017d07c6;whoa 多;一共 passing 捺;15968;125.31;18076.55;8750.04;19321.91;18424.1;4272.4
7c54ed3a-acb8-4b1a-8645-ba110fe6260b;走 indeed which;血淋淋 ack 拔;23369;29639.27;16300.35;3489.63;27535.99;4292.28;28419.16
4891ee09-aabc-4eb6-8b1f-ac1c7922cc47;干脆 依然 except;gladiolus 多 开;20705;19810.38;4888.72;11151.13;22849.08;4625.35;22903.68
d754d9e6-7a93-466e-820c-e629dfee8640;光 yum;很 全 马虎;13566;28818.73;26848.44;10400.96;3115.88;10487.42;21722.16
e2362e88-015c-471b-bacb-bee3adf2dc39;挡 versus;under carnival 平常;30348;15178.1;20972.85;32294.63;30035.02;17728.7;31845.6
abb00646-6b4a-4ac9-bc90-931a125bd737;upon;短 duh;294;15167.62;16640.44;3439.7;8790.45;18595.23;4553.31
5f5e8116-5abc-4c30-80d1-c7971e357790;atop in;below;25677;28150.36;10727.88;14970.73;18436.77;12260.77;8747.83
fd8c4b33-3f25-460e-8d31-0e4272670e77;homework waist carload;少 gah worshiper;14974;30005.85;16952.32;29454.95;6777.96;10967.95;20114.52
0e86945b-01b8-4ec8-a264-8d38ac02b936;frontier ah coal;over if;3097;29409.96;6030.19;29589.28;27500.95;23241.98;30535.32
