id;wbsname;description;result;administratorname;responsiblename;department;secretlevel;audit_status
622de659-c4e4-413f-b972-6eb0a0e69d32;what once;uh-huh besides lycra;ick cenotaph sans;meanwhile;特地;必定 必然;PUBLIC;Not_Audited
1dc9b73c-f79f-4a5b-9e47-e6ce0a6b20e6;百般 unless 吸;抚 woot airfield;yahoo 绿;gah 好些;even;cutover if concerning;NOSECTET_INTERNAL;Not_Audited
8daeb8c8-5d8e-4165-a168-187b339dc97f;索性 except;blah;note;ATM 一味;滑;latex eek;NOSECTET_INTERNAL;Approved
3fb22119-baaa-4fd3-a06b-056d94b09473;大 血淋淋;血淋淋;拿;sculpting;revolver 没;through;PUBLIC;In_Audit
1ce47587-06d5-4c3d-95c7-2b3cfe7e9e2a;不 whenever;toward;清楚;惟独 eek;索性 inasmuch;camp;NOSECTET_INTERNAL;In_Audit
58e94108-56e9-464c-8722-17a76df57956;平坦;难道;抿 than;trap 优秀 bob;拔;幸亏 pfft;PUBLIC;In_Audit
3ad31b83-8db5-4419-b9b6-273907d55d35;plus 揍 spork;yuck;advertisement after;掐 好;ew fragrance;捡 of;PUBLIC;In_Audit
8c32a610-a1cb-4cff-9246-5884990cd615;长 血淋淋;扔;near whoever;clove;antennae 击;雪白 互相;NOSECTET_INTERNAL;Not_Audited
cb604420-f1ab-48e0-a935-1b9f6e12d523;摇 抬 提;modem;黑不溜秋;at 撑 provided;compost 幸亏;whenever;SECRET;Not_Audited
4e332f80-dbd3-43a0-a0d7-12d63cdb6755;别;ack aha;挥 gig;seeker 多;快;blah;PUBLIC;In_Audit
