id;name;pbsid;workbagtype;supplier;iskeyimportant;keypbsname;importantpbsname;secretlevel;description;starttime;endtime;estimatedpurchasingtime;progress;outsourcingcontractid;outsourcingcontractname;issafetywork;remark;audit_status
f178bd71-0cbf-4931-8548-dcf2035354b5;CD;near;28174;捡 across;30530;pish absent 难道;blah likewise 平坦;CONFIDENTIAL;provided;2024-10-21;2024-10-21;2024-10-20;11113;画 drat;鲁莽 entity;5758;apud before 骨碌碌;NOT_AUDITED
1328cac6-d4ca-4367-8fb0-7a26d86fe9b4;whose;unlike;22136;blah however 擒;1422;after thirst whenever;yuck 坚固;SECRET;maid unto;2024-10-21;2024-10-20;2024-10-21;6209;百般;aw 仅仅 披;22134;furthermore twilight;IN_AUDIT
4e253cfe-44f8-40b7-b748-6525b2ea3cca;击 grid however;没 必然 少;2481;incidentally 倒;25487;ack;总共;SECRET;because;2024-10-20;2024-10-20;2024-10-20;8879;with 坐 勇敢;athwart;3607;快 mid;NOT_AUDITED
fdfdf5c6-c835-4a3e-8092-0eb35b761918;ah fantasy which;掷;24904;whether garment;12355;behind;lest;CONFIDENTIAL;evidence squatter 大;2024-10-20;2024-10-20;2024-10-21;23884;worth 全;beside 全;26255;ew an password;APPROVED
801fe682-66a5-4222-823a-a5dc606679b2;incidentally;when 绿;26008;抽 being;25102;仿佛 an;mid notwithstanding 好;CONFIDENTIAL;as;2024-10-20;2024-10-20;2024-10-20;32738;boundary 整齐;平坦 midst;31948;phew 插;IN_AUDIT
71884df6-0292-4e85-afea-f752a18f938a;brr reservation duplexer;while;21561;gosh;26953;overload;curl 嚼 快;SECRET;considering athwart 生动;2024-10-20;2024-10-21;2024-10-20;21876;马虎 whoa;擒 so;22891;sunflower versus;APPROVED
3e8405ef-d68b-4187-bed9-baba8a171bcf;渐渐;果然 可;16602;特地 拧;29135;gravy;brr 少 huzzah;INTERNAL;甜 gee gosh;2024-10-21;2024-10-21;2024-10-20;7795;mmm 做 渐渐;upon since 多亏;32674;黑不溜秋 furthermore;NOT_AUDITED
825ef552-8a1a-4b0b-86b0-4d986ba2b10a;hence 粗 drat;多亏 unless;24136;极其 ah why;1194;how;vanity;INTERNAL;ouch 不 supplier;2024-10-21;2024-10-20;2024-10-21;9509;轻松 挖;拔 依然;11932;细 光;IN_AUDIT
1baa3aba-387a-4197-b863-ffdf95825b51;扭;although furthermore regarding;3056;across 吞;19604;including duh zowie;after for;INTERNAL;yippee 长;2024-10-20;2024-10-21;2024-10-20;31504;although until among;都 fooey unless;22643;between 红;APPROVED
3695d6fa-605a-42fa-8eb9-967320302225;possible;勇敢 cleaner;32045;buyer;10873;gosh versus;bandana but;INTERNAL;copywriter perception 拿;2024-10-21;2024-10-20;2024-10-21;15065;blah ew airspace;why uh-huh tart;19698;upon 可 转动;NOT_AUDITED
